p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
16,threads,spread, ,simd,"dist_schedule(static,1024)","schedule(static,8)",1.7976931348623157e+308,20.96377944946289
2,cores,master,#pragma omp parallel for,simd, ,"schedule(static,16)",1.7976931348623157e+308,33.08594369888306
32,cores,master, ,simd,"dist_schedule(static,256)","schedule(static,2)",1.7976931348623157e+308,45.108742475509644
