input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
1000000,4,1280,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,64,compact,cores,13.223305,4833.149206876755
1000000,4,200, , ,2,8,128,disabled,sockets,13.187899999999999,4883.947386264801
1000000,8,1600,#pragma clang loop unrolling full, ,8,128,160,scatter,sockets,13.25517,4934.895415067673
1000000,5,100, ,#pragma omp parallel for,64,32,128,none,cores,13.15965,4985.944624662399
1000000,4,1600, ,#pragma omp parallel for,96,64,160,scatter,threads,13.36613,5037.558057069778
1000000,6,800,#pragma clang loop unrolling full, ,256,64,20,balanced,cores,13.584859999999999,5089.457510471344
1000000,7,400, , ,16,256,80,compact,threads,13.478204999999999,5141.113940477371
1000000,5,1000,#pragma clang loop unrolling full, ,16,16,100,none,threads,13.355550000000001,5192.4773960113525
1000000,5,1280,#pragma clang loop unrolling full, ,16,96,40,scatter,threads,13.309664999999999,5243.573803186417
1000000,5,800, , ,32,8,160,none,sockets,13.265615,5294.605498313904
1000000,4,2000,#pragma clang loop unrolling full, ,2,8,64,balanced,threads,13.307694999999999,5345.770021915436
1000000,5,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,80,compact,sockets,13.170515,5396.737454652786
1000000,6,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,64,scatter,cores,13.184905,5447.814137458801
1000000,8,400, ,#pragma omp parallel for,96,96,10,explicit,threads,13.12838,5498.767944574356
1000000,6,1600, ,#pragma omp parallel for,256,64,64,balanced,sockets,13.22725,5549.921607255936
1000000,6,2000,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,64,none,cores,13.279,5601.267709732056
1000000,4,100,#pragma clang loop unrolling full, ,64,2,20,scatter,cores,13.271795000000001,5652.366301774979
1000000,5,640, ,#pragma omp parallel for,128,64,10,disabled,threads,13.138885,5703.195265293121
1000000,7,400,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,160,disabled,sockets,13.18145,5754.258967876434
1000000,7,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,200,compact,threads,13.146805,5805.249727010727
1000000,7,400, ,#pragma omp parallel for,8,128,80,disabled,cores,13.1639,5856.199760437012
1000000,7,640, , ,256,32,128,none,threads,13.271294999999999,5907.221219778061
1000000,6,2000, ,#pragma omp parallel for,16,256,20,compact,cores,13.28074,5958.628465652466
1000000,5,400, ,#pragma omp parallel for,32,32,80,disabled,cores,13.18875,6009.640460968018
1000000,8,100, ,#pragma omp parallel for,64,8,64,none,sockets,13.443909999999999,6061.571925401688
1000000,8,100, ,#pragma omp parallel for,2,2,64,none,cores,13.10005,6112.448029279709
1000000,6,1600, , ,4,8,10,disabled,cores,13.26313,6163.389647960663
1000000,4,200, , ,256,2,128,disabled,cores,13.310424999999999,6214.535791635513
1000000,8,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,100,explicit,sockets,13.379335000000001,6266.208785295486
1000000,7,800, , ,8,256,160,scatter,cores,13.46364,6317.727560997009
1000000,4,1600, ,#pragma omp parallel for,128,256,100,explicit,sockets,13.199295,6368.870057106018
1000000,6,1280, ,#pragma omp parallel for,16,2,200,compact,threads,13.433815,6420.738823413849
1000000,5,640, ,#pragma omp parallel for,4,64,100,scatter,threads,13.41084,6472.387063741684
1000000,5,1000,#pragma clang loop unrolling full, ,32,16,10,none,cores,13.522794999999999,6524.229469776154
1000000,6,640,#pragma clang loop unrolling full, ,4,4,10,explicit,threads,13.468,6575.889920949936
1000000,8,400,#pragma clang loop unrolling full, ,96,4,200,none,sockets,13.2274,6626.730297327042
1000000,6,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,20,explicit,threads,13.421665,6678.564525842667
