input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,1.357875,1026.8588831424713
100000,5,1600, , ,32,128,100,explicit,threads,1.4167100000000001,1042.2387976646423
100000,5,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,1.3853499999999999,1057.6206767559052
100000,7,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,1.4431699999999998,1073.4350295066833
100000,4,400, , ,2,32,200,compact,threads,1.363965,1088.7449514865875
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,1.42601,1104.4946842193604
100000,7,400, ,#pragma omp parallel for,8,32,80,disabled,cores,1.34811,1120.115911245346
100000,6,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,1.45435,1135.8703067302704
100000,4,200,#pragma clang loop unrolling full, ,64,96,128,scatter,sockets,1.3394750000000002,1151.0304713249207
100000,5,2000, ,#pragma omp parallel for,2,256,160,balanced,sockets,1.3694350000000002,1166.6114456653595
100000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,scatter,cores,1.367415,1182.234634399414
100000,5,800, ,#pragma omp parallel for,256,2,80,disabled,sockets,1.335945,1197.6810593605042
100000,5,2000, , ,128,16,80,compact,sockets,1.404735,1213.0259094238281
100000,7,1000, , ,8,4,128,scatter,threads,1.4142100000000002,1228.4538178443909
100000,6,200,#pragma clang loop unrolling full, ,128,32,10,compact,threads,1.3443100000000001,1243.7141053676605
100000,8,800, ,#pragma omp parallel for,64,128,128,none,threads,1.37975,1259.3118734359741
100000,7,400,#pragma clang loop unrolling full, ,16,128,80,explicit,threads,1.388345,1274.6071763038635
100000,4,1000,#pragma clang loop unrolling full, ,32,8,10,balanced,threads,1.345585,1289.833333015442
100000,6,100, ,#pragma omp parallel for,16,32,200,compact,threads,1.341075,1305.3948130607605
100000,4,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,balanced,threads,1.32946,1320.795415878296
100000,8,800, , ,96,256,200,disabled,cores,1.375405,1336.0496287345886
100000,6,100, , ,4,256,200,scatter,sockets,1.335705,1351.2248167991638
100000,4,400, , ,8,256,200,balanced,cores,1.3354949999999999,1366.4485886096954
100000,6,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,20,none,cores,1.378495,1381.9788897037506
100000,4,200,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,1.33417,1397.1244175434113
100000,8,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,threads,1.35148,1412.6983609199524
100000,6,2000, ,#pragma omp parallel for,8,64,160,compact,sockets,1.46841,1428.6124148368835
100000,4,400,#pragma clang loop unrolling full, ,32,96,100,scatter,cores,1.3476249999999999,1443.782966375351
100000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,10,none,cores,1.34467,1459.2647664546967
100000,4,1280,#pragma clang loop unrolling full, ,96,128,100,balanced,cores,1.364785,1474.5351417064667
100000,8,200, ,#pragma omp parallel for,2,128,160,compact,cores,1.3400349999999999,1490.0997650623322
100000,7,800,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,1.385915,1505.410816669464
100000,8,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,100,compact,sockets,1.502725,1521.3836436271667
100000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,1.35743,1536.9359576702118
100000,7,100, , ,96,8,80,none,sockets,1.34516,1552.2056531906128
