input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
1000000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,4.921275,1275.0180795192719
1000000,8,2000, , ,16,64,100,disabled,threads,2.4998,1295.2942497730255
1000000,2,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,10.667935,1341.0948448181152
1000000,32,1600, , ,32,128,100,explicit,threads,0.95931,1356.8513832092285
1000000,8,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,2.51301,1377.242722272873
1000000,96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,1.12221,1393.9552793502808
1000000,4,400, , ,2,32,200,compact,threads,5.7254950000000004,1424.0839874744415
1000000,32,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,0.94868,1440.040543794632
1000000,64,400, ,#pragma omp parallel for,8,32,80,disabled,cores,0.972395,1456.3868696689606
1000000,48,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,1.04175,1472.6827731132507
1000000,2,200,#pragma clang loop unrolling full, ,64,96,128,scatter,sockets,9.83097,1515.165023803711
1000000,8,2000, ,#pragma omp parallel for,2,256,160,balanced,sockets,2.54625,1536.0454187393188
1000000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,scatter,cores,5.023160000000001,1564.461586713791
1000000,16,800, ,#pragma omp parallel for,256,2,80,disabled,sockets,1.276255,1581.6151649951935
1000000,16,2000, , ,128,16,80,compact,sockets,1.823615,1600.7663142681122
1000000,96,1000, , ,8,4,128,scatter,threads,1.064265,1616.9420745372772
1000000,64,200,#pragma clang loop unrolling full, ,128,32,10,compact,threads,1.02168,1633.242802619934
1000000,192,800, ,#pragma omp parallel for,64,128,128,none,threads,1.1884299999999999,1650.2516901493073
1000000,128,400,#pragma clang loop unrolling full, ,16,128,80,explicit,threads,1.04094,1666.4358191490173
1000000,4,1000,#pragma clang loop unrolling full, ,32,8,10,balanced,threads,4.944095,1694.252567768097
1000000,48,100, ,#pragma omp parallel for,16,32,200,compact,threads,0.95472,1710.5021424293518
1000000,4,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,balanced,threads,4.9428149999999995,1738.514859676361
1000000,192,800, , ,96,256,200,disabled,cores,1.2631649999999999,1755.9950213432312
1000000,32,100, , ,4,256,200,scatter,sockets,0.96262,1771.8222913742065
1000000,2,400, , ,8,256,200,balanced,cores,9.835635,1814.5748920440674
1000000,32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,20,none,cores,0.9441649999999999,1830.434716463089
1000000,2,200,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,9.97115,1873.054871082306
1000000,192,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,threads,1.008615,1889.3187248706818
1000000,48,2000, ,#pragma omp parallel for,8,64,160,compact,sockets,1.049285,1905.6881918907166
1000000,8,400,#pragma clang loop unrolling full, ,32,96,100,scatter,cores,2.48036,1925.8746933937073
1000000,96,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,10,none,cores,0.981875,1942.2229945659637
1000000,8,1280,#pragma clang loop unrolling full, ,96,128,100,balanced,cores,2.57049,1962.6918685436249
1000000,128,200, ,#pragma omp parallel for,2,128,160,compact,cores,0.9911699999999999,1978.9950606822968
1000000,128,800,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,1.109525,1995.1605982780457
1000000,256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,100,compact,sockets,1.0505749999999998,2011.8761050701141
1000000,256,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,0.99902,2028.3615441322327
1000000,128,100, , ,96,8,80,none,sockets,0.985355,2044.4297850131989
1000000,4,100,#pragma clang loop unrolling full, ,2,8,100,balanced,cores,4.873215,2075.4348046779633
1000000,16,100, ,#pragma omp parallel for,8,128,40,disabled,sockets,1.3723049999999999,2096.17147731781
1000000,16,640, ,#pragma omp parallel for,128,256,100,scatter,sockets,1.428695,2116.442823410034
1000000,32,400, , ,16,256,160,explicit,cores,0.93659,2135.0178463459015
1000000,32,100,#pragma clang loop unrolling full, ,128,4,10,explicit,cores,0.9330400000000001,2153.9322147369385
1000000,256,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,160,none,cores,1.286785,2174.2706587314606
1000000,64,1600,#pragma clang loop unrolling full, ,4,2,160,balanced,cores,0.98291,2193.313554286957
1000000,64,640,#pragma clang loop unrolling full, ,2,256,100,balanced,cores,0.9654149999999999,2212.2933073043823
1000000,192,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,80,none,cores,0.97675,2231.882666349411
1000000,128,100, ,#pragma omp parallel for,128,256,20,scatter,cores,0.962145,2251.078691482544
1000000,64,200,#pragma clang loop unrolling full, ,8,2,128,scatter,cores,0.98027,2270.136612892151
1000000,256,100, ,#pragma omp parallel for,128,2,10,scatter,cores,0.98523,2289.5804958343506
1000000,192,100, ,#pragma omp parallel for,4,256,160,compact,sockets,0.961395,2309.082097530365
1000000,128,100, , ,2,256,40,compact,cores,1.039425,2328.671556711197
1000000,192,200,#pragma clang loop unrolling full, ,256,2,80,compact,cores,0.9803599999999999,2347.869819164276
1000000,192,100, ,#pragma omp parallel for,16,2,20,scatter,sockets,0.9732350000000001,2367.2450828552246
1000000,128,100, , ,96,2,64,compact,threads,0.9602999999999999,2386.2553861141205
1000000,8,640,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,200,explicit,cores,2.4802850000000003,2410.2021296024323
1000000,48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,160,compact,cores,1.04875,2429.6932072639465
1000000,48,200,#pragma clang loop unrolling full, ,32,4,40,compact,sockets,0.943675,2448.5685760974884
1000000,256,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,160,compact,sockets,1.002195,2467.8570199012756
1000000,128,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,80,compact,cores,1.007415,2487.3326058387756
1000000,256,200,#pragma clang loop unrolling full, ,64,4,20,disabled,sockets,1.05759,2506.6619806289673
1000000,64,200, ,#pragma omp parallel for,32,2,40,compact,cores,0.939245,2525.7713720798492
1000000,256,100,#pragma clang loop unrolling full, ,8,2,100,disabled,sockets,1.0241850000000001,2544.8117711544037
1000000,48,100,#pragma clang loop unrolling full, ,4,256,100,disabled,sockets,0.94092,2563.7600281238556
1000000,128,400,#pragma clang loop unrolling full, ,4,256,40,compact,sockets,1.0134249999999998,2582.761917591095
1000000,96,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,80,explicit,cores,0.998345,2602.312042951584
1000000,192,100,#pragma clang loop unrolling full, ,8,16,80,compact,cores,0.9940599999999999,2621.1235721111298
1000000,32,1280, ,#pragma omp parallel for,8,256,64,compact,cores,1.020775,2640.965117931366
1000000,48,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,160,none,cores,1.0138,2660.1942014694214
1000000,4,200,#pragma clang loop unrolling full, ,2,2,128,explicit,cores,4.907165,2690.995531320572
1000000,48,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,64,disabled,sockets,1.056395,2711.20564866066
1000000,48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,128,explicit,sockets,1.0859,2730.94455575943
1000000,16,200, ,#pragma omp parallel for,256,2,200,compact,cores,1.670915,2752.5799634456635
1000000,96,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,200,compact,cores,1.06589,2772.137994289398
1000000,48,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,200,explicit,sockets,1.020105,2791.866722345352
1000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,80,explicit,sockets,1.072715,2811.4630279541016
1000000,32,640,#pragma clang loop unrolling full, ,2,8,160,explicit,sockets,0.930785,2830.678235054016
1000000,48,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,160,explicit,sockets,1.02759,2850.709750175476
1000000,48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,160,disabled,threads,1.10296,2870.491933107376
1000000,32,100,#pragma clang loop unrolling full, ,8,16,200,compact,sockets,0.9411849999999999,2890.5382628440857
1000000,32,100,#pragma clang loop unrolling full, ,8,96,64,compact,sockets,1.0313750000000002,2911.2028834819794
1000000,256,200,#pragma clang loop unrolling full, ,4,8,160,compact,threads,0.99778,2930.917750597
1000000,96,100, , ,8,96,64,explicit,cores,0.973875,2950.5067551136017
1000000,32,1000,#pragma clang loop unrolling full, ,128,2,200,explicit,sockets,1.032835,2970.7946116924286
1000000,16,1000,#pragma clang loop unrolling full, ,128,16,200,scatter,cores,1.33319,2991.1067247390747
1000000,48,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,explicit,cores,0.9410050000000001,3010.705833673477
1000000,256,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,200,scatter,cores,1.228855,3031.827356815338
1000000,256,2000,#pragma clang loop unrolling full, ,2,128,160,compact,cores,1.226565,3052.8586604595184
1000000,256,800,#pragma clang loop unrolling full, ,2,8,160,compact,cores,1.1078299999999999,3072.9800674915314
