input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5000000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,24.856875,2927.875017642975
5000000,8,2000, , ,16,64,100,disabled,threads,12.403690000000001,2981.4987621307373
5000000,2,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,48.90177,3141.8006143569946
5000000,32,1600, , ,32,128,100,explicit,threads,4.65928,3168.5760061740875
5000000,8,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,12.539629999999999,3219.134603023529
5000000,96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,4.93623,3247.2680807113647
5000000,4,400, , ,2,32,200,compact,threads,28.93124,3346.886458873749
5000000,32,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,4.650410000000001,3374.1180715560913
5000000,64,400, ,#pragma omp parallel for,8,32,80,disabled,cores,4.680175,3401.350780248642
5000000,48,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,4.75526,3428.7183241844177
5000000,2,200,#pragma clang loop unrolling full, ,64,96,128,scatter,sockets,49.53642,3590.758440256119
5000000,8,2000, ,#pragma omp parallel for,2,256,160,balanced,sockets,12.38144,3641.074329137802
5000000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,scatter,cores,24.91538,3728.978861093521
5000000,16,800, ,#pragma omp parallel for,256,2,80,disabled,sockets,6.42215,3761.32546710968
5000000,16,2000, , ,128,16,80,compact,sockets,8.40272,3799.3788735866547
5000000,96,1000, , ,8,4,128,scatter,threads,4.737895,3826.4103763103485
5000000,64,200,#pragma clang loop unrolling full, ,128,32,10,compact,threads,4.66402,3853.512431383133
5000000,192,800, ,#pragma omp parallel for,64,128,128,none,threads,4.88516,3882.142706155777
5000000,128,400,#pragma clang loop unrolling full, ,16,128,80,explicit,threads,4.78805,3909.530675172806
5000000,4,1000,#pragma clang loop unrolling full, ,32,8,10,balanced,threads,24.874634999999998,3997.050534248352
5000000,48,100, ,#pragma omp parallel for,16,32,200,compact,threads,4.971305,4025.1419837474823
5000000,4,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,balanced,threads,24.39893,4111.570036172867
5000000,192,800, , ,96,256,200,disabled,cores,4.961399999999999,4385.389900922775
5000000,32,100, , ,4,256,200,scatter,sockets,4.80851,4412.5464498996735
5000000,2,400, , ,8,256,200,balanced,cores,49.42815,4573.44233250618
5000000,32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,20,none,cores,4.7524999999999995,4601.0345849990845
5000000,2,200,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,49.55042,4762.6985495090485
5000000,192,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,threads,4.8178149999999995,4790.61092877388
5000000,48,2000, ,#pragma omp parallel for,8,64,160,compact,sockets,4.7882,4818.318343400955
5000000,8,400,#pragma clang loop unrolling full, ,32,96,100,scatter,cores,12.822315,4869.266678094864
5000000,96,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,10,none,cores,4.7539,4896.566192150116
5000000,8,1280,#pragma clang loop unrolling full, ,96,128,100,balanced,cores,12.71423,4947.249540567398
5000000,128,200, ,#pragma omp parallel for,2,128,160,compact,cores,4.78426,4975.169285535812
5000000,128,800,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,4.91475,5002.630971431732
5000000,256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,100,compact,sockets,5.107925,5031.166977643967
5000000,256,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,4.74095,5058.790410995483
5000000,128,100, , ,96,8,80,none,sockets,4.677855,5085.694548606873
5000000,16,200, , ,128,256,64,scatter,sockets,6.62975,5121.298995733261
5000000,256,100,#pragma clang loop unrolling full, ,4,2,128,explicit,cores,4.830495,5151.770566225052
5000000,32,200, ,#pragma omp parallel for,16,256,20,explicit,cores,4.588155,5181.750511407852
5000000,64,1280,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,100,compact,cores,4.72548,5212.274006843567
5000000,64,400,#pragma clang loop unrolling full, ,256,256,80,explicit,cores,4.6453050000000005,5242.142454147339
5000000,32,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,40,explicit,sockets,4.628769999999999,5272.302046298981
5000000,8,200,#pragma clang loop unrolling full, ,2,4,128,explicit,cores,12.495275,5325.897265434265
5000000,128,400, , ,4,256,10,scatter,cores,4.71197,5356.263377428055
5000000,48,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,200,compact,cores,4.686484999999999,5387.075346946716
5000000,192,100, , ,64,16,80,compact,cores,4.7704450000000005,5417.471805810928
5000000,192,100, , ,4,256,160,compact,threads,4.7189499999999995,5447.81573176384
5000000,48,100, , ,32,2,160,compact,cores,4.64877,5478.174474954605
5000000,256,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,40,scatter,cores,5.051125,5510.053725719452
5000000,128,100, ,#pragma omp parallel for,8,2,100,scatter,cores,4.690155,5540.386074066162
5000000,48,1600, , ,32,2,100,compact,cores,4.691225,5570.666169643402
5000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,128,compact,sockets,4.7289449999999995,5600.97846698761
5000000,48,800,#pragma clang loop unrolling full, ,64,256,200,scatter,sockets,4.66108,5631.077941656113
5000000,48,1600,#pragma clang loop unrolling full, ,96,16,100,compact,sockets,4.782725,5798.354232549667
5000000,32,800,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,160,compact,sockets,4.729395,5828.901259899139
5000000,256,400, ,#pragma omp parallel for,32,2,200,compact,cores,4.741405,5861.9217002391815
5000000,48,2000, ,#pragma omp parallel for,96,2,128,disabled,sockets,4.7164,5893.622565984726
5000000,192,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,80,explicit,cores,4.7117,5924.538503170013
5000000,192,100,#pragma clang loop unrolling full, ,8,2,160,compact,cores,4.73291,5954.558345317841
5000000,32,200,#pragma clang loop unrolling full, ,96,4,20,scatter,cores,4.65986,5984.553934812546
5000000,32,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,64,scatter,sockets,4.7235949999999995,6015.169652462006
5000000,64,2000, ,#pragma omp parallel for,128,2,40,balanced,cores,4.74042,6117.477617025375
5000000,64,100,#pragma clang loop unrolling full, ,96,256,160,explicit,cores,4.69741,6147.802621603012
5000000,16,100, ,#pragma omp parallel for,8,2,64,compact,sockets,8.358284999999999,6189.1540632247925
5000000,32,2000, ,#pragma omp parallel for,256,64,128,none,cores,4.6720500000000005,6219.566078662872
5000000,48,400,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,64,explicit,cores,4.7399249999999995,6252.39822435379
5000000,128,400, , ,96,2,160,compact,cores,4.782575,6282.5342338085175
5000000,128,1280, , ,128,2,80,compact,cores,4.853665,6342.933391094208
5000000,16,400, ,#pragma omp parallel for,128,32,64,compact,sockets,8.309930000000001,6384.273894786835
5000000,8,2000,#pragma clang loop unrolling full, ,16,4,200,compact,cores,15.803930000000001,6447.866538524628
5000000,16,1000, , ,64,2,10,compact,threads,8.38007,6489.377467870712
5000000,48,100, ,#pragma omp parallel for,16,4,40,compact,threads,4.639635,6519.961979389191
5000000,48,800, ,#pragma omp parallel for,256,256,80,compact,cores,4.655275,6551.198003530502
5000000,48,1280, ,#pragma omp parallel for,32,32,64,compact,cores,4.68102,6582.026260375977
5000000,48,200, ,#pragma omp parallel for,128,128,160,scatter,threads,4.721,6612.421681165695
5000000,48,640,#pragma clang loop unrolling full, ,2,96,200,explicit,cores,4.744045,6642.4376657009125
5000000,48,800, ,#pragma omp parallel for,64,256,40,scatter,threads,4.74495,6709.03248000145
