p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,120,0.0012085,456.6943645477295
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,16,120,0.0011155,465.9187421798706
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,8,20,120,0.001208,474.3586091995239
 , ,4,100,128,120,0.0012204999999999,482.7109293937683
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,120,0.0012255,491.1346457004547
 , ,16,4,64,120,0.0012085,499.6784696578979
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,120,0.00122,508.3268961906433
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,120,0.0012079999999999,516.8501043319702
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,16,80,120,0.0012065,525.1589844226837
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,120,0.001214,533.6348004341125
 , ,100,50,50,120,0.0012165,541.9794499874115
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,120,0.001209,550.5272090435028
 , ,4,100,100,120,0.001209,558.9372625350952
 , ,80,80,100,120,0.001214,567.675235748291
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,32,8,120,0.001209,575.9062037467957
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,120,0.0012135,585.2629027366638
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,120,0.001221,593.7392456531525
 , ,50,64,20,120,0.0012144999999999,602.0826730728149
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,8,32,120,0.001208,610.4267294406891
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,120,0.0012,620.2066595554352
 , ,50,32,32,120,0.0012144999999999,628.5797109603882
