p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,3.864845,415.5759997056745
8,64, ,#pragma omp parallel for,4,8,sockets,balanced,3.857145,415.5038020511741
8,160, ,#pragma omp parallel for,64,32,cores,balanced,3.853655,412.32856013326307
8,80, ,#pragma omp parallel for,4,96,sockets,balanced,3.8666400000000003,410.93570202483187
8,64, ,#pragma omp parallel for,2,8,sockets,balanced,3.888975,408.4104654905013
8,80, ,#pragma omp parallel for,8,96,sockets,balanced,3.8540900000000002,406.93641667743066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,3.872935,406.67716425013003
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,3.86895,405.7413358934379
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,3.86375,405.04862370573454
8,128, ,#pragma omp parallel for,64,32,cores,balanced,3.85068,404.30096480415733
8,80, ,#pragma omp parallel for,16,64,sockets,balanced,3.859895,388.2363142388058
8,80, ,#pragma omp parallel for,32,16,sockets,balanced,3.8783649999999996,384.6766891340936
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,3.89303,380.5614477330735
8,80, ,#pragma omp parallel for,32,32,threads,balanced,3.86212,375.26224016105044
8,128, ,#pragma omp parallel for,32,4,cores,balanced,3.852185,372.8382723521502
8,100, ,#pragma omp parallel for,64,2,cores,balanced,3.85886,372.2905639738523
8,100, ,#pragma omp parallel for,64,4,cores,balanced,3.8556749999999997,372.1451253380099
8,128, ,#pragma omp parallel for,96,4,cores,balanced,3.856615,368.59086918477374
8,128, ,#pragma omp parallel for,96,4,cores,balanced,3.853535,368.59086918477374
8,80, ,#pragma omp parallel for,32,8,sockets,balanced,3.86498,366.9328807377288
8,64, ,#pragma omp parallel for,16,32,cores,balanced,3.8552400000000002,361.370197232725
8,160, ,#pragma omp parallel for,32,8,cores,balanced,3.86423,360.79509225851666
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,3.864865,358.4108074000055
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,balanced,3.85196,350.5104175214468
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,cores,balanced,3.85715,350.50685002955566
8,64,#pragma clang loop unrolling full, ,8,96,sockets,balanced,3.8598600000000003,350.50684974204165
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,4.39538,344.4088332302837
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,4.4131350000000005,344.40856813336586
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,3.860925,343.31773337746006
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,balanced,4.40984,332.6562343234775
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,balanced,4.398054999999999,332.6562343234775
8,128, ,#pragma omp parallel for,96,16,cores,balanced,3.8508750000000003,332.47394559815893
8,128, ,#pragma omp parallel for,96,16,cores,balanced,3.85095,332.47394559815893
8,128, ,#pragma omp parallel for,96,16,cores,balanced,3.8537600000000003,332.47394559815893
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,4.403725,329.5428792009227
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,4.3918099999999995,329.329642719007
8,80, ,#pragma omp parallel for,8,8,sockets,balanced,3.8655600000000003,328.46839030043833
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,4.386950000000001,326.80264778918496
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,cores,balanced,4.39387,325.21635469623664
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,4.3938950000000006,324.4747014347583
8,80,#pragma clang loop unrolling full, ,16,96,sockets,balanced,5.4960450000000005,323.8178847926479
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,4.393545,323.10893715014646
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,cores,balanced,3.8494349999999997,320.88954724619697
8,80, ,#pragma omp parallel for,4,8,sockets,balanced,3.8551900000000003,319.2544908105015
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,4.391615,317.90526215006685
8,40, ,#pragma omp parallel for,8,32,sockets,balanced,3.86626,316.099472850628
8,40, ,#pragma omp parallel for,16,2,cores,balanced,3.867935,312.07171329265793
8,64,#pragma clang loop unrolling full, ,4,96,sockets,balanced,3.86311,310.9344597976692
8,40, ,#pragma omp parallel for,8,2,cores,balanced,3.866305,308.07753005772696
8,40, ,#pragma omp parallel for,32,8,cores,balanced,3.8638899999999996,307.6758028131854
8,40, ,#pragma omp parallel for,16,32,sockets,balanced,4.518555,307.26111324564897
8,40, ,#pragma omp parallel for,8,8,cores,balanced,3.862805,305.9552375758113
8,40, ,#pragma omp parallel for,4,2,cores,balanced,3.8659049999999997,302.60202567565534
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,3.8584050000000003,302.22976726154604
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,3.85997,302.22976726154604
8,40, ,#pragma omp parallel for,4,8,cores,balanced,3.857745,300.5175348623304
8,40, ,#pragma omp parallel for,64,4,cores,balanced,3.8674299999999997,299.6176646165219
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,3.860035,298.35082147770794
