p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,64,8,400,0.0551729934788221,899.3414578437805
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,64,4,2000,7.707867665595972,899.3598999977112
 , ,80,2048,4,120,0.001107944194976,952.6211760044098
 , ,96,2048,4,400,0.0471357804510217,952.636265039444
 , ,64,2048,128,2000,7.396982335890783,952.6505720615388
 , ,20,2048,4,120,0.0011079460136564,989.8386149406432
 , ,128,2048,16,400,0.0480842442050582,989.8582646846772
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,4,256,2000,7.704133902403669,989.8750801086426
 , ,8,2048,4,120,0.0011079468460712,1029.2887964248655
 , ,4,2048,4,400,0.0467118433264746,1029.3060331344604
 , ,8,2048,128,2000,7.360768435689806,1029.3221199512482
 , ,64,2048,4,120,0.0011079446688774,1086.032106399536
 , ,96,4,4,400,0.0562093889871698,1086.0488140583038
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,8,2000,8.144222340291918,1086.0663475990295
 , ,16,2048,4,120,0.0011079464362743,1184.795431137085
 , ,16,2048,4,400,0.046818229658882,1184.815175533295
 , ,96,2048,256,2000,6.932020779660539,1184.8349170684814
 , ,4,2048,4,120,0.0011079472430473,1229.376690864563
 , ,8,2048,16,400,0.0476576116835381,1229.3965792655945
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,2000,7.013922494987251,1229.4157955646515
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,32,120,0.0013330676299365,1262.6953716278076
 , ,16,2048,8,400,0.0470294406294533,1262.712688446045
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,4,2000,8.140730400307831,1262.7292137145996
 , ,4,2048,8,120,0.0011258010542798,1297.5077760219574
 , ,4,32,8,400,0.0549886626712255,1297.5288820266724
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,256,2000,7.57271473646955,1297.5481300354004
 , ,20,100,4,120,0.0011407681373908,1329.8403968811035
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,8,4,400,0.0552918870835765,1329.8602278232574
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,128,256,2000,7.619695559997908,1329.8788497447968
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,120,0.0011079656604904,1362.896374464035
 , ,8,50,4,400,0.0552579149661938,1362.9149627685547
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,100,4,2000,7.452910119852636,1362.9328825473785
