input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
1000000,4,sockets,spread,#pragma omp parallel for, ,"schedule(static,16)",0.14075,802.8189513683319
1000000,21,sockets,spread, , ,"schedule(static,16)",0.14282499999999998,807.6836338043213
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,4)",0.110895,812.2847230434418
1000000,16,threads,master,#pragma omp parallel for, , ,0.111715,816.919519662857
1000000,16,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",0.110955,821.6936047077179
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,4)",0.11984500000000001,826.3451039791107
1000000,8,threads,spread, ,simd,"schedule(static,8)",0.12045,830.8434014320374
1000000,4,sockets,spread, ,simd,"schedule(static,8)",0.119865,835.5030443668365
1000000,32,threads,close, , , ,0.10011,839.9781672954559
1000000,42,threads,close, ,simd,"schedule(static,8)",0.117085,844.5986406803131
1000000,21,sockets,spread, , ,"schedule(static,32)",0.198375,849.3524355888367
1000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",0.194295,854.1667032241821
1000000,16,threads,master, , ,"schedule(static,2)",0.11013999999999999,858.9190011024475
1000000,21,sockets,close, , ,"schedule(static,16)",0.13575500000000001,863.4251828193665
1000000,8,sockets,master, ,simd,"schedule(static,8)",0.120475,867.9635815620422
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",0.11478,872.6331498622894
1000000,4,cores,close,#pragma omp parallel for,simd, ,0.11179,877.311811208725
1000000,2,threads,close,#pragma omp parallel for,simd,"schedule(static,4)",0.11667,881.7773189544678
1000000,42,sockets,close,#pragma omp parallel for,simd,"schedule(static,32)",0.19309500000000002,886.9484179019928
1000000,4,cores,close,#pragma omp parallel for,simd,"schedule(static,16)",0.13452999999999998,891.5753920078278
1000000,4,cores,close,#pragma omp parallel for, ,"schedule(static,1)",0.10150500000000001,896.3826532363892
1000000,4,cores,close, , ,"schedule(static,16)",0.13997500000000002,901.0395648479462
1000000,4,cores,spread, , ,"schedule(static,4)",0.107665,905.653088092804
1000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",0.11086499999999999,910.3809356689453
1000000,21,cores,master, , ,"schedule(static,2)",0.103645,914.9522876739502
1000000,32,cores,spread, ,simd,"schedule(static,4)",0.10968,919.5144078731537
1000000,21,sockets,spread, ,simd,"schedule(static,8)",0.114775,924.0499160289764
1000000,2,cores,close, , ,"schedule(static,2)",0.105995,1647.3396332263947
1000000,2,sockets,master, ,simd, ,0.107855,1708.473403930664
1000000,42,cores,master,#pragma omp parallel for,simd, ,0.116355,1778.028974056244
1000000,8,cores,close, ,simd, ,0.09956999999999999,1903.7069857120514
1000000,2,cores,spread,#pragma omp parallel for,simd, ,0.11185,1969.210437297821
1000000,2,cores,close, ,simd, ,0.11526,2082.843913078308
1000000,2,threads,master,#pragma omp parallel for,simd, ,0.10411000000000001,2172.13170170784
1000000,16,sockets,master, ,simd,"schedule(static,2)",0.10713,2211.0743401050568
1000000,4,threads,close, ,simd, ,0.11510000000000001,2439.1128447055817
1000000,42,cores,close, , , ,0.10887,2480.867262840271
1000000,2,cores,spread, ,simd, ,0.110605,2677.0048801898956
1000000,8,sockets,master, ,simd,"schedule(static,2)",0.10663500000000001,2714.741905450821
1000000,42,threads,master, , , ,0.10492,2753.676394224167
1000000,2,cores,master, ,simd, ,0.09904,2843.120343208313
1000000,21,cores,close,#pragma omp parallel for,simd, ,0.114165,2933.0358085632324
1000000,8,cores,close,#pragma omp parallel for,simd, ,0.10747000000000001,3034.8507606983185
1000000,21,sockets,master, ,simd,"schedule(static,2)",0.11365,3081.1895694732666
1000000,2,sockets,close, ,simd, ,0.101465,3207.6340849399567
1000000,2,sockets,close, ,simd,"schedule(static,2)",0.1131,3250.7301659584045
1000000,32,sockets,master, ,simd, ,0.11554500000000001,3283.7942023277283
1000000,4,cores,master, ,simd, ,0.10685,3346.084598302841
