p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,128,500,120,2.3177888908122126,181.5740315914154
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,80,500,120,1.4885839963044918,181.58623242378235
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,16,4,500,120,9.857611245846062,181.59840726852417
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,128,500,120,1.9775037050799895,181.6107473373413
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,500,120,4.074392762737926,181.6234531402588
 , , ,128,8,128,40,20,0.0002728813052432,326.5479414463043
 , , ,128,64,16,100,40,0.0116182505888697,326.5665373802185
 , , ,128,8,256,500,120,1.971307830802135,326.5808627605438
 , , ,128,4,32,40,20,0.0002969018322372,402.5590095520019
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,16,100,40,0.0087579869310881,402.5770452022553
 , , ,128,64,64,500,120,1.376820629870661,402.591427564621
 , , ,8,4,16,40,20,0.0002884464825722,479.1567943096161
 , , ,8,8,16,100,40,0.0098158738695905,479.1742041110992
 , , ,8,8,4,500,120,3.3441204612529383,479.1887466907501
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,40,20,0.0003070723106593,582.9706988334656
 , , ,64,4,128,100,40,0.0035706890104145,582.9883463382721
 , , ,128,80,4,500,120,5.972166316667697,583.0032408237457
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,64,40,20,0.0005225290644826,704.7770125865936
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,100,40,0.0075473451163501,704.7954931259155
 , , ,100,4,4,500,120,3.6944741313612903,704.8107235431671
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,4,80,40,20,0.0006240786974974,820.2680010795593
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,80,100,40,0.009323380015374,820.2873420715332
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,80,500,120,1.283117883364178,820.302924156189
 , , ,16,8,4,40,20,0.0004086804731553,965.3752875328064
 , , ,20,4,4,100,40,0.0087008098365352,965.394330739975
 , , ,4,16,64,500,120,2.997980830769808,965.4119288921356
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,80,40,20,0.000305203695972,996.618417263031
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,100,100,40,0.0059238906516911,996.6383633613586
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,128,500,120,1.9749547952515765,996.6556832790376
 , , ,50,2048,256,40,20,0.0002735834785824,1130.1084442138672
 , , ,128,32,20,100,40,0.0070564604077737,1130.132670879364
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,80,500,120,2.882210178712242,1130.1499965190887
 , , ,4,16,4,40,20,0.0003787666957961,1245.2247424125671
 , , ,64,16,4,100,40,0.0092071403745159,1245.2448637485504
 , , ,4,4,4,500,120,2.2138734642882363,1245.2634499073029
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,80,256,40,20,0.0004261131045702,1403.745438337326
 , , ,4,2048,4,100,40,0.0090213918997528,1403.7653059959412
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,500,120,5.3686716279854085,1403.7842073440552
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,20,80,40,20,0.0005021033775561,1564.380525350571
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,80,100,40,0.0092975513160252,1564.403478860855
 , , ,50,16,80,500,120,2.769123513125809,1564.4218122959137
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,40,20,0.0002844422305279,1713.87123131752
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,256,100,40,0.0108471193224981,1713.892646074295
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,500,120,2.0181068381162977,1713.912698984146
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,100,40,20,0.0004751981788022,1877.998389959335
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,128,100,40,0.0138642505276103,1878.0225355625153
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,80,500,120,3.433168833479169,1878.0414533615112
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,128,40,20,0.0003144302955778,2041.1886901855469
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,100,100,40,0.0222137461381325,2041.2105185985563
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,500,120,3.787367121321289,2041.2299478054047
