p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,2000,7.505391703141749,769.4289402961731
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,120,0.0011079429839173,830.831618309021
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,400,0.0468097900779894,830.848611831665
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,8,2000,7.594456175863567,830.86439037323
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,120,0.0011079632268754,888.5707101821899
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,400,0.0633086483764311,888.586062669754
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,2000,7.592396693195781,888.601972579956
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,120,0.0011079642387847,943.8987486362456
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,400,0.0470536653766598,943.9171724319458
 , ,128,20,256,2000,7.608463847675289,943.9315733909608
 , ,32,2048,4,120,0.0011079455782177,1085.8638997077942
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,50,4,400,0.0552994791361881,1085.8817460536957
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,50,128,2000,7.6389081864191954,1085.897085428238
 , ,96,2048,4,120,0.0011079437082537,1121.3513107299805
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,400,0.0471947391981118,1121.3682215213776
 , ,8,2048,80,2000,7.176024294593148,1121.3847835063934
 , ,100,2048,8,120,0.0011257970101674,1174.474646806717
