p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,4,32,4,2000,7.576903488526152,4786.07656621933
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,128,120,0.0012592159986488,5095.3096516132355
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,256,400,0.053369179689947,5095.329585552216
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,2000,6.300801629967707,5095.343063592911
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,120,0.0012759445049014,5391.516382694244
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,400,0.0467339767049746,5391.5318121910095
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,32,2000,7.4380229021343505,5391.547051668167
 , ,8,2048,4,120,0.0011079468460712,5710.968564271927
 , ,4,2048,4,400,0.0467118433264746,5710.984272003174
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,256,2000,7.109006157118264,5711.000626087189
 , ,4,2048,8,120,0.0011258010542798,6013.477890491486
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,400,0.0468097900779894,6013.49431681633
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,2000,6.525947760087759,6013.508943796158
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,120,0.0011079673766023,6334.56171298027
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,4,400,0.0468266665794979,6334.577346563339
