p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,13.6123305,2642.609784603119
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,8,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,18.5977595,2711.5501577854156
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,2048,16, , , , ,1600,1800,2000,2200,2400,11.6630655,2760.846003293991
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,5.677008000000001,2787.9536175727844
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,20.538015,2860.585727930069
 , , ,128,20,4, , , , ,1600,1800,2000,2200,2400,2.5107165,2882.3377628326416
 , , ,64,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1600,1800,2000,2200,2400,5.66617,2909.089438676834
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1600,1800,2000,2200,2400,19.481809,2979.2818853855133
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,13.637773500000002,3033.969671487808
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,8,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1600,1800,2000,2200,2400,6.3820875,3065.037896156311
