p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,4,1200,1400,0.509591,742.5433320999146
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,32,1200,1400,2.5513825,757.4470021724701
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,1200,1400,2.498176,772.8236486911774
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,16,1200,1400,2.005133,785.4467430114746
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,20,1200,1400,1.0427375,797.5467612743378
 , ,4,100,128,1200,1400,3.5475535,816.0627081394196
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,1200,1400,3.131876,832.9906239509583
 , ,16,4,64,1200,1400,3.0033165,848.6715371608734
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,1200,1400,3.5006375,867.171427488327
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,1200,1400,3.5858935,885.4476230144501
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,16,80,1200,1400,3.7277885,904.1923494338988
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,1200,1400,3.213796,921.2036926746368
 , ,100,50,50,1200,1400,2.801127,936.1953763961792
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,1200,1400,0.5338769999999999,946.2105808258056
 , ,4,100,100,1200,1400,3.4171829999999996,964.1466274261476
 , ,80,80,100,1200,1400,3.40423,980.671352148056
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,32,8,1200,1400,0.435974,991.5151314735411
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,1200,1400,3.5078585,1008.4275074005128
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,1200,1400,2.4812445,1023.1406383514404
 , ,50,64,20,1200,1400,0.1843555,1034.6559891700745
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,8,32,1200,1400,3.097223,1051.056303024292
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,1200,1400,3.1142295,1066.938785791397
 , ,50,32,32,1200,1400,2.292613,1080.1386432647705
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,1200,1400,0.392091,1088.1673250198364
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,1200,1400,3.3653475,1106.135462284088
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,80,50,1200,1400,3.229384,1123.0758275985718
 , ,32,16,256,1200,1400,3.7124175,1140.5593786239624
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,1200,1400,3.2027875000000003,1157.603094100952
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,1200,1400,3.262324,1174.995523929596
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,50,1200,1400,3.774098,1193.0787262916565
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,1200,1400,1.8197255,1206.408012151718
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,1200,1400,3.5325565,1223.358099937439
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,1200,1400,3.689255,1241.3183619976044
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,1200,1400,0.6345565,1251.2527005672457
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,1200,1400,0.5179795,1262.3385412693024
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,1200,1400,0.6148655000000001,1273.1594891548157
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,1200,1400,4.091137,1294.0913331508636
 , ,128,100,64,1200,1400,3.038094,1309.8361279964447
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,1200,1400,3.459677,1327.6477134227753
 , ,4,128,20,1200,1400,0.1958215,1339.3012673854828
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,128,1200,1400,3.483697,1356.4584062099457
 , ,4,32,128,1200,1400,3.607857,1374.8230757713318
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,4,1200,1400,0.299692,1384.3496866226196
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,128,1200,1400,3.4820215,1401.1628556251526
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,8,1200,1400,0.4408885,1409.732148885727
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,32,100,1200,1400,3.9303165,1428.6550862789154
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,64,80,1200,1400,3.732872,1446.9459538459778
 , ,50,16,32,1200,1400,2.221043,1460.4282109737396
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,80,1200,1400,3.145715,1476.3555281162262
 , ,8,32,16,1200,1400,1.6386705,1487.8993186950684
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,100,4,1200,1400,0.299436,1499.3582229614258
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,80,4,1200,1400,0.297809,1510.379796743393
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,100,4,1200,1400,0.29916,1521.8698642253876
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,1200,1400,1.875649,1537.0153181552887
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,8,1200,1400,0.521469,1549.967559337616
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,16,1200,1400,1.889784,1564.7271802425385
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,1200,1400,0.634355,1578.018584728241
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,4,1200,1400,0.4291844999999999,1587.7712230682373
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,4,1200,1400,0.4255425,1597.8875699043274
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,4,1200,1400,0.3117955,1609.255057811737
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,128,4,1200,1400,0.2976335,1620.4184119701383
 , ,128,80,8,1200,1400,0.18337,1630.7553825378418
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,1200,1400,0.5283905,1643.711315393448
 , ,32,2048,4,1200,1400,0.1560035,1652.566558122635
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,2048,4,1200,1400,0.327507,1663.2320883274078
 , ,128,100,8,1200,1400,0.1567385,1673.822151184082
 , ,4,2048,20,1200,1400,0.1799535,1686.0309872627258
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,20,1200,1400,0.6083620000000001,1698.6795687675476
 , ,50,2048,20,1200,1400,0.170232,1710.9319624900818
 , ,32,2048,20,1200,1400,0.1709505,1723.1674666404724
 , ,64,2048,16,1200,1400,1.49388,1735.6076335906982
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,20,20,1200,1400,0.9990825,1749.7862877845764
