p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
16,threads,spread, ,simd,"schedule(static,4)",static,0.4264,24.96209979057312
32,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",static,0.487755,37.12649965286255
4,cores,close,#pragma omp parallel for, ,"schedule(static,1)",dynamic,1.02708,50.961002826690674
