p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,16,400,0.04894,461.0383410453797
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,8,20,400,0.0551345,469.4587171077728
 , ,4,100,128,400,0.0550985,477.9700357913971
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,400,0.055172,486.1298403739929
 , ,16,4,64,400,0.0555144999999999,494.3776986598969
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,400,0.0555984999999999,502.92251110076904
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,400,0.055258,511.22622895240784
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,16,80,400,0.05569,519.5180556774139
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,400,0.055227,528.2731740474701
 , ,100,50,50,400,0.055273,538.3212683200836
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,400,0.05517,546.4491348266602
 , ,4,100,100,400,0.055122,554.7211170196533
 , ,80,80,100,400,0.055212,563.4815218448639
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,32,8,400,0.05515,571.7930700778961
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,400,0.0534605,580.8219683170319
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,400,0.0552535,589.1088094711304
 , ,50,64,20,400,0.055181,597.518625497818
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,8,32,400,0.0551535,605.9490306377411
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,400,0.052259,615.0311622619629
 , ,50,32,32,400,0.0550415,623.375420331955
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,400,0.055264,631.7452144622803
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,400,0.0553219999999999,640.1737635135651
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,80,50,400,0.0551925,648.6376850605011
 , ,32,16,256,400,0.055178,657.9889824390411
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,400,0.055081,666.3570187091827
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,400,0.0551965,674.6376483440399
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,8,50,400,0.0551815,682.9972186088562
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,400,0.055149,691.2831175327301
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,400,0.0540164999999999,700.1930184364319
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,400,0.0551075,708.4733414649963
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,400,0.0493274999999999,717.6668441295624
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,400,0.055261,726.0358240604401
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,400,0.0551834999999999,734.3614139556885
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,400,0.0551915,742.8219723701477
 , ,128,100,64,400,0.0552244999999999,751.6505138874054
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,400,0.0552395,759.9333851337433
