p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,4,400,0.0557522133027769,5264.132894039154
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,4,256,2000,7.66582165392114,5264.145808458328
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,120,0.0011079216209976,5604.420120239258
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,32,4,400,0.0553666200904574,5604.434203863144
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,4,2000,8.063471160042281,5604.447505474091
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,120,0.0011244546013244,5975.320630788803
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,4,400,0.0563115981133897,5975.337545871735
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,2000,7.0815981791000615,5975.351000785828
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,100,4,120,0.00114074370574,6320.31561088562
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,400,0.0467339767049746,6320.336597919464
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,80,2000,7.8920490968300925,6320.355721712112
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,120,0.0011079228503926,6630.883364439011
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,400,0.0499439344799532,6630.900655031204
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,64,2000,7.665361857733998,6630.915013790131
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,8,120,0.0011257725681304,6953.817816734314
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,20,400,0.0491205097566438,6953.847763538361
 , ,4,128,4,2000,7.0793047132978915,6953.862325191498
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,120,0.0011079183036877,7298.406076431274
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,4,400,0.0468266665794979,7298.423993825912
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,16,2000,7.609997233619128,7298.438974380493
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,20,80,120,0.0013391773411076,7621.716015338898
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,400,0.047103127246072,7621.732643842697
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,2000,7.536311002962743,7621.749739408493
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,8,120,0.0011257762150105,7950.397399663925
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,8,400,0.0469220574853139,7950.416202306747
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,32,2000,7.523811089857464,7950.432218551636
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,4,120,0.0011079188160508,8296.068905115128
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,400,0.0467803549302344,8296.087795734406
 , ,4,4,4,2000,7.581898846549412,8296.104103326797
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,120,0.0011079207372977,8645.83546590805
 , ,8,2048,4,400,0.0467650697306565,8645.855020046234
 , ,80,2048,32,2000,6.656700130215942,8645.871524572372
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,120,0.0011079224534149,9040.565156698229
 , ,96,2048,4,400,0.0471357804510217,9040.585017204285
 , ,32,80,4,2000,7.643540570004965,9040.603730916975
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,8,120,0.0011257766122481,9395.233149290085
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,2048,4,400,0.0469190893537319,9395.253950357435
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,2000,6.773023843433629,9395.271226644516
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,2048,8,120,0.0011257749451345,9825.769112825394
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,400,0.0467823572858126,9825.828944683077
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,2000,6.525947760087759,9825.852539300919
