p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,80,#pragma clang loop unrolling full, ,2,2,threads,disabled,0.9144300000000001,1206.9906151294708
8,160, , ,256,2,threads,compact,0.410945,1222.990463733673
3,200,#pragma clang loop unrolling full, ,32,4,threads,explicit,0.68611,1238.9898631572723
7,200,#pragma clang loop unrolling full, ,16,96,threads,scatter,0.30152500000000004,1254.9915006160736
4,64, ,#pragma omp parallel for,4,4,cores,balanced,0.462395,1270.990130186081
5,128, , ,2,64,sockets,none,0.412885,1286.9905602931976
4,40, ,#pragma omp parallel for,64,128,sockets,compact,0.533595,1302.990463256836
7,100, ,#pragma omp parallel for,32,64,threads,explicit,0.30429,1318.990804195404
8,160, ,#pragma omp parallel for,128,96,sockets,none,0.296375,1335.1544375419617
6,64,#pragma clang loop unrolling full, ,4,2,sockets,scatter,0.358975,1350.9908318519592
7,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,compact,0.31703000000000003,1366.9907360076904
4,100, , ,256,96,threads,none,0.53325,1382.99049782753
3,100, ,#pragma omp parallel for,96,8,cores,compact,0.614895,1399.278739452362
2,20,#pragma clang loop unrolling full, ,8,2,cores,balanced,0.98054,1416.990149974823
7,160,#pragma clang loop unrolling full, ,16,96,sockets,balanced,0.265965,1432.9904916286469
2,100, , ,2,32,sockets,balanced,0.92587,1450.9914212226868
7,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,compact,0.31510499999999997,1466.9905278682709
3,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,sockets,compact,0.61519,1484.991462469101
2,80,#pragma clang loop unrolling full, ,32,32,threads,disabled,1.161715,1502.9907219409943
3,10, ,#pragma omp parallel for,4,4,sockets,disabled,0.691015,1519.1568174362183
8,10, , ,4,2,threads,compact,0.34326999999999996,1534.9905676841736
4,20, ,#pragma omp parallel for,8,4,threads,scatter,0.54349,1550.991726398468
2,128, , ,8,16,threads,balanced,0.927365,1568.9900403022766
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,sockets,none,0.30805,1584.991004228592
2,200, , ,96,2,threads,scatter,1.071755,1602.990299463272
7,64, , ,4,96,cores,compact,0.44013,1618.9911901950836
4,200,#pragma clang loop unrolling full, ,64,96,cores,explicit,0.5137499999999999,1634.989363193512
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,none,0.32347000000000004,1650.9882922172546
7,80, ,#pragma omp parallel for,64,16,threads,explicit,0.337285,1666.9907128810883
8,160, , ,96,16,sockets,balanced,0.230305,1682.9897639751434
5,40,#pragma clang loop unrolling full, ,256,4,sockets,balanced,0.36863999999999997,1698.989572763443
5,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,cores,none,0.42279,1714.9905529022217
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,sockets,scatter,0.302985,1730.9909932613373
3,160, ,#pragma omp parallel for,2,96,cores,scatter,0.68415,1748.990800857544
2,20,#pragma clang loop unrolling full, ,96,8,cores,none,1.10615,1766.990479707718
6,20,#pragma clang loop unrolling full, ,32,16,threads,disabled,0.335445,1782.9907901287079
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,sockets,explicit,0.738335,1799.526827096939
