p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,40, ,#pragma omp parallel for,4,16,cores,none,0.439,1327.382786989212
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,none,0.4425,1345.9178249835968
8,64, , ,96,16,cores,none,0.456,1364.4945874214172
8,20, , ,16,16,cores,none,0.477,1383.030997991562
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,cores,none,0.4585,1401.5876865386963
8,64, ,#pragma omp parallel for,256,16,cores,none,0.5175000000000001,1420.1425805091858
8,200,#pragma clang loop unrolling full, ,4,16,cores,none,0.41600000000000004,1438.7087714672089
7,64, ,#pragma omp parallel for,64,256,cores,none,0.5645,1457.2433915138245
7,64, , ,64,32,cores,none,0.5465,1475.7710621356964
7,200,#pragma clang loop unrolling full, ,4,256,sockets,explicit,0.5675,1494.327177286148
8,200, ,#pragma omp parallel for,256,16,cores,none,0.4665,1512.9785017967224
8,200, ,#pragma omp parallel for,4,16,cores,disabled,0.472,1531.5222353935242
7,64, , ,4,32,cores,none,0.531,1550.1029419898987
8,200, ,#pragma omp parallel for,4,16,cores,scatter,0.474,1568.6565613746643
3,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,cores,none,1.2755,1589.2031853199005
8,128, ,#pragma omp parallel for,16,16,cores,balanced,0.395,1607.7573487758636
8,100, ,#pragma omp parallel for,16,16,cores,balanced,0.5115000000000001,1626.3820531368256
8,128, , ,64,16,cores,balanced,0.3935,1643.498783826828
8,200, , ,64,64,cores,balanced,0.3915,1660.5876648426056
8,200, , ,256,96,cores,balanced,0.5565,1679.184408903122
8,160, , ,64,64,cores,balanced,0.584,1697.7862830162048
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,disabled,0.47450000000000003,1716.3931143283844
8,200, , ,2,256,cores,none,0.418,1734.9936347007751
8,200, , ,8,4,cores,none,0.478,1753.6194524765015
8,160, ,#pragma omp parallel for,4,32,cores,none,0.4885,1772.2175686359406
8,200, , ,64,8,cores,none,0.4925,1790.788245677948
8,200,#pragma clang loop unrolling full, ,8,32,cores,none,0.5005,1809.374980688095
8,160, ,#pragma omp parallel for,16,128,cores,none,0.4385,1827.9512705802917
8,160, ,#pragma omp parallel for,32,96,cores,none,0.4695,1846.5576956272125
8,200, ,#pragma omp parallel for,128,128,cores,balanced,0.543,1865.1490194797516
8,80, ,#pragma omp parallel for,16,128,sockets,none,0.4875,1883.7910647392273
8,80, ,#pragma omp parallel for,16,128,cores,none,0.4535,1902.3867304325104
8,200, , ,64,128,sockets,disabled,0.486,1920.9840495586395
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,0.5405,1939.5877091884613
8,160, ,#pragma omp parallel for,64,16,threads,scatter,0.4725,1958.2083792686462
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,0.395,1976.7804236412048
8,10, , ,16,16,cores,balanced,0.4015,1995.404086112976
8,128,#pragma clang loop unrolling full, ,16,16,cores,balanced,0.405,2014.0565793514252
8,128,#pragma clang loop unrolling full, ,16,4,sockets,balanced,0.47250000000000003,2032.6670377254486
8,128, ,#pragma omp parallel for,16,16,sockets,balanced,0.5495000000000001,2051.5421924591064
8,80, , ,16,16,cores,balanced,0.4015,2070.146532058716
8,64,#pragma clang loop unrolling full, ,16,128,cores,balanced,0.516,2088.821441411972
8,80,#pragma clang loop unrolling full, ,16,16,cores,balanced,0.40249999999999997,2107.447343826294
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.523,2126.056091785431
8,20, , ,64,16,threads,balanced,0.558,2144.7198798656464
8,160, , ,16,16,cores,balanced,0.3935,2163.335042476654
8,20, , ,16,2,cores,none,0.455,2181.951014280319
8,20, , ,16,16,cores,disabled,0.421,2200.5483300685883
8,20, , ,16,2,threads,disabled,0.4575,2219.1629314422607
8,128, , ,16,2,cores,none,0.449,2237.7513246536255
8,20, , ,16,2,cores,balanced,0.406,2256.3673615455627
8,128,#pragma clang loop unrolling full, ,16,2,cores,balanced,0.41600000000000004,2274.982100725174
8,200,#pragma clang loop unrolling full, ,16,2,cores,disabled,0.4185,2293.6327118873596
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,threads,compact,0.539,2312.2628543376923
8,10,#pragma clang loop unrolling full, ,16,16,threads,balanced,0.4025,2330.88467168808
8,40, , ,16,16,sockets,balanced,0.576,2349.8540740013123
8,40, , ,16,16,cores,balanced,0.3945,2367.369369029999
8,40, ,#pragma omp parallel for,16,16,cores,scatter,0.4745,2385.980899333954
8,64,#pragma clang loop unrolling full, ,16,16,cores,compact,0.5135000000000001,2404.6109540462494
8,128, , ,16,2,cores,balanced,0.392,2423.238948583603
8,10,#pragma clang loop unrolling full, ,16,2,cores,balanced,0.4035,2441.836430311203
8,200,#pragma clang loop unrolling full, ,16,2,cores,balanced,0.4805,2460.437331199646
8,64, , ,16,8,cores,explicit,0.472,2479.113577604294
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,compact,0.688,2497.7291758060455
8,128, , ,16,8,cores,balanced,0.392,2516.3362290859222
7,128, , ,4,128,cores,explicit,0.5435000000000001,2534.9621114730835
8,40, , ,16,96,cores,balanced,0.5865,2553.6277391910553
8,128, , ,8,16,cores,balanced,0.581,2572.2722973823547
8,64, , ,16,2,cores,balanced,0.4005,2590.902205467224
8,80, , ,16,16,threads,balanced,0.4015,2609.5764231681824
