p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,3.1658370530372313,321.6318471431732
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.7421025718868204e-09,358.82160329818726
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.011436305532217,358.8350646495819
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.8678470283516397,358.8479874134064
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.744986010971351e-09,417.4262969493866
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,180,190,200,210,220,0.0109304469946844,417.4412021636963
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,1.9156593522008531,417.54663038253784
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,4, , , , ,40,50,60,70,80,2.745381249587629e-09,483.96276569366455
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0096118297921274,483.97810649871826
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.9147001051859608,483.9919245243073
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.740977318997345e-09,531.150711774826
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.011932081872394,531.1658961772919
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,0.960914436987822,531.1801748275757
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.738356277725529e-09,572.9230728149414
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0113510264371172,572.9384343624115
 , , ,8,50,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,7.1220244917198094,572.953399181366
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.7410672324558262e-09,620.0798647403717
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0120832778345809,620.0956528186798
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,1.1102100772505925,620.1124901771545
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,2.7379287121921814e-09,674.6804056167603
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0356957577792598,674.7002248764038
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,64,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,7.6429258364510195,674.7156591415405
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.7397722611726295e-09,720.67143034935
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0120841737411259,720.690310716629
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,20,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.7085436198279342,720.7067360877991
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,100, , , , ,40,50,60,70,80,2.744908358887819e-09,766.3186666965485
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.012108855317455,766.3384923934937
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,0.6851496366000884,766.3550801277161
 , , ,64,16,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.745542944538381e-09,801.9293689727783
 , , ,80,20,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0112011140486592,801.9474127292633
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,0.6304993889856287,801.9641993045807
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.742543027489178e-09,835.8181400299072
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0131916789519022,835.8363966941833
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.5111979726527578,835.8537595272064
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.7380839287586166e-09,876.0400693416595
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,100,4, , , , ,180,190,200,210,220,0.0079495280692385,876.0586669445038
