p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,180,0.004406,184.4184606075287
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,16,180,0.0044085,187.80321502685547
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,20,180,0.0043995,191.31271839141849
 , ,4,100,128,180,0.0050314999999999,194.72182607650757
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,180,0.0044145,198.177592754364
 , ,16,4,64,180,0.0044189999999999,201.56998467445376
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,180,0.00441,204.98427152633667
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,180,0.004404,208.406019449234
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,16,80,180,0.0044259999999999,211.8368158340454
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,180,0.0047225,215.58790588378903
 , ,100,50,50,180,0.004406,218.97761607170105
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,180,0.004406,222.35757184028623
 , ,4,100,100,180,0.004483,225.71221137046817
 , ,80,80,100,180,0.0043999999999999,229.1045470237732
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,32,8,180,0.0044189999999999,232.49055552482605
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,180,0.0044025,235.83340859413147
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,180,0.004412,239.19821643829343
 , ,50,64,20,180,0.004406,242.5984411239624
