p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,32,80,100,0.0008545,394.1376621723175
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,80,100,0.000757,401.49526619911194
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,16,80,100,0.00068,408.0508122444153
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,20,80,100,0.000327,417.4323680400848
 , ,4,100,128,80,100,0.0011015,423.6638205051422
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,80,100,0.001006,431.571564912796
 , ,16,4,64,80,100,0.000942,438.19528365135193
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,80,100,0.0011005,444.3831877708435
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,80,100,0.001109,451.9311339855194
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,16,80,80,100,0.0011935,459.5772032737732
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,80,100,0.0009705,468.40809202194214
 , ,100,50,50,80,100,0.0009135,474.5545747280121
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,80,100,0.0001754999999999,483.40905475616455
 , ,4,100,100,80,100,0.0010985,489.8203589916229
 , ,80,80,100,80,100,0.0010985,495.79626059532166
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,32,8,80,100,0.0005924999999999,503.59160327911377
