input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,1.29338,1015.4815783500671
100000,5,1600, , ,32,128,100,explicit,threads,1.3799649999999999,1030.7379987239838
100000,5,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,1.3218,1045.92320561409
100000,7,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,1.372555,1061.4435305595398
100000,4,400, , ,2,32,200,compact,threads,1.3192849999999998,1076.5830833911896
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,1.404655,1092.1794497966766
100000,7,400, ,#pragma omp parallel for,8,32,80,disabled,cores,1.335205,1107.73441696167
100000,6,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,1.387845,1123.3455426692963
100000,4,200,#pragma clang loop unrolling full, ,64,96,128,scatter,sockets,1.3156349999999999,1138.4276201725006
100000,5,2000, ,#pragma omp parallel for,2,256,160,balanced,sockets,1.3348149999999999,1153.8912634849548
100000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,scatter,cores,1.315465,1169.3042542934418
100000,5,800, ,#pragma omp parallel for,256,2,80,disabled,sockets,1.327635,1184.6922183036804
100000,5,2000, , ,128,16,80,compact,sockets,1.374545,1199.9761171340942
100000,7,1000, , ,8,4,128,scatter,threads,1.37683,1215.3015036582947
100000,6,200,#pragma clang loop unrolling full, ,128,32,10,compact,threads,1.322825,1230.5110721588135
100000,8,800, ,#pragma omp parallel for,64,128,128,none,threads,1.345585,1246.0086867809296
100000,7,400,#pragma clang loop unrolling full, ,16,128,80,explicit,threads,1.3587,1261.203646659851
100000,4,1000,#pragma clang loop unrolling full, ,32,8,10,balanced,threads,1.3331499999999998,1276.3475587368011
100000,6,100, ,#pragma omp parallel for,16,32,200,compact,threads,1.304315,1291.826115846634
100000,4,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,balanced,threads,1.296365,1307.1193618774414
100000,8,800, , ,96,256,200,disabled,cores,1.3555549999999998,1322.3765926361084
100000,6,100, , ,4,256,200,scatter,sockets,1.314035,1337.4776253700256
100000,4,400, , ,8,256,200,balanced,cores,1.3055400000000001,1352.6117906570435
100000,6,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,20,none,cores,1.33351,1368.0569307804108
100000,4,200,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,1.33673,1383.2274334430695
100000,8,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,threads,1.37628,1398.7935235500336
100000,6,2000, ,#pragma omp parallel for,8,64,160,compact,sockets,1.42973,1414.5878880023956
100000,4,400,#pragma clang loop unrolling full, ,32,96,100,scatter,cores,1.34501,1429.7483417987823
100000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,10,none,cores,1.335145,1445.227427482605
100000,4,1280,#pragma clang loop unrolling full, ,96,128,100,balanced,cores,1.3475000000000001,1460.4215579032898
100000,8,200, ,#pragma omp parallel for,2,128,160,compact,cores,1.319505,1475.9105410575867
100000,7,800,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,1.3438750000000002,1491.0858969688416
100000,8,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,100,compact,sockets,1.47383,1506.982635974884
100000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,1.323675,1522.4126195907593
100000,7,100, , ,96,8,80,none,sockets,1.330165,1537.6066241264343
100000,4,100,#pragma clang loop unrolling full, ,2,2,100,compact,cores,1.3284600000000002,1557.6785366535187
100000,7,100,#pragma clang loop unrolling full, ,128,2,40,explicit,cores,1.349075,1577.3010892868042
100000,4,2000, ,#pragma omp parallel for,8,96,20,none,threads,1.428235,1597.4259717464447
100000,4,1280, ,#pragma omp parallel for,32,8,200,explicit,cores,1.38267,1617.3525655269623
100000,8,100, ,#pragma omp parallel for,4,2,10,explicit,sockets,1.3887649999999998,1637.7539834976196
100000,4,800, ,#pragma omp parallel for,2,16,40,explicit,sockets,1.37121,1657.6003692150116
100000,4,1600, , ,96,96,200,compact,threads,1.4083,1677.3522410392761
100000,8,200,#pragma clang loop unrolling full, ,8,2,20,scatter,sockets,1.367135,1696.9345695972443
100000,8,100, ,#pragma omp parallel for,4,128,160,scatter,cores,1.4099650000000001,1717.490254163742
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,20,explicit,cores,1.5192450000000002,1737.7550885677338
100000,8,100, , ,128,2,100,compact,cores,1.3608,1757.3392403125763
100000,4,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,20,compact,sockets,1.3265,1777.5301132202148
100000,5,1600,#pragma clang loop unrolling full, ,256,256,20,compact,cores,1.41686,1797.3883686065674
100000,6,100, , ,256,256,10,balanced,threads,1.3667799999999999,1817.1935563087463
100000,8,2000, , ,2,16,10,none,sockets,1.52618,1837.290719985962
100000,5,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,40,explicit,threads,1.401545,1857.9348130226135
