input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,16,20, , ,4,32,sockets,disabled,1.665245,1284.9025712013245
5000000,8,200, , ,32,4,threads,none,2.3125,1306.5983531475067
5000000,48,80,#pragma clang loop unrolling full, ,8,4,sockets,none,1.6469049999999998,1326.3191390037537
5000000,192,160, ,#pragma omp parallel for,96,64,threads,compact,1.67971,1346.4985761642456
5000000,64,160, , ,96,96,threads,compact,1.653715,1366.3228688240051
5000000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,none,1.67417,1385.870549917221
5000000,4,80, , ,16,64,sockets,disabled,4.41328,1413.730600118637
5000000,16,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,explicit,1.666465,1433.1384134292603
5000000,4,128,#pragma clang loop unrolling full, ,8,8,threads,none,4.392545,1461.0052790641785
5000000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,compact,8.91595,1502.5667400360107
5000000,32,40, , ,4,32,cores,none,1.63256,1522.0947074890137
5000000,96,20, , ,16,96,threads,disabled,1.66372,1541.7365732192993
5000000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,threads,disabled,1.663495,1561.4066758155823
5000000,2,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,cores,explicit,9.0484,1603.30246758461
5000000,48,128, , ,16,4,sockets,scatter,1.65028,1622.8944454193115
5000000,2,80, , ,2,96,cores,scatter,8.64246,1663.4742789268494
5000000,8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,threads,disabled,2.39475,1685.1146647930145
5000000,64,20, ,#pragma omp parallel for,8,8,threads,compact,1.65791,1704.7980480194092
5000000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,threads,none,9.036505,1746.7544264793396
5000000,16,64, , ,8,2,cores,explicit,1.6620050000000002,1766.3546931743622
5000000,2,200, ,#pragma omp parallel for,64,96,sockets,balanced,8.76844,1807.3423519134521
5000000,64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,compact,1.6593849999999999,1826.9059178829193
5000000,192,20,#pragma clang loop unrolling full, ,4,4,cores,balanced,1.67318,1846.562656402588
5000000,128,80, , ,256,32,cores,scatter,1.668425,1866.1975445747375
5000000,4,80,#pragma clang loop unrolling full, ,128,128,cores,disabled,4.4173100000000005,1894.0144679546356
5000000,48,80,#pragma clang loop unrolling full, ,16,2,sockets,scatter,1.644205,1913.5220460891724
5000000,4,10, , ,128,128,sockets,balanced,4.49818,1941.7004225254059
5000000,192,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,sockets,none,1.68361,1961.749474287033
5000000,32,100,#pragma clang loop unrolling full, ,16,96,cores,explicit,1.631065,1981.3371238708496
5000000,48,10, , ,2,256,cores,scatter,1.648015,2000.8984212875366
5000000,2,20, ,#pragma omp parallel for,2,256,sockets,compact,9.05181,2042.7262632846832
