p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,32,2800,17.733068000000003,3006.384434223175
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,16,2800,17.741536500000002,3063.2059416770935
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,20,2800,17.7444305,3121.1356015205383
 , ,4,100,128,2800,17.834405500000003,3178.1281740665436
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,50,2800,17.710536500000003,3234.9794466495514
 , ,16,4,64,2800,17.7471095,3291.5948524475098
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,128,2800,17.749994,3348.5105299949646
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,128,2800,17.736981,3405.151084661484
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,16,80,2800,17.6996425,3462.0153815746307
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64,2800,17.682521,3518.660986185074
 , ,100,50,50,2800,17.8396245,3575.7228660583496
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,2800,17.700847,3632.474866628647
 , ,4,100,100,2800,17.829922500000002,3689.40074968338
 , ,80,80,100,2800,17.70597,3746.267130613327
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,32,8,2800,17.785235999999998,3803.134782314301
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,2800,17.788864500000003,3860.2828900814056
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,2800,17.717557,3916.9936933517456
 , ,50,64,20,2800,17.7585585,3974.171989440918
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,8,32,2800,17.7755905,4031.052695512771
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,2800,17.738651500000003,4089.006234884262
 , ,50,32,32,2800,17.7422195,4145.850203990936
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,2800,17.747495,4202.830005407333
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,2800,17.713984,4259.907563924789
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,80,50,2800,17.7585695,4316.885652542114
 , ,32,16,256,2800,17.693676500000002,4373.454516410828
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,2800,17.762234,4430.3482546806335
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,2800,17.652768000000002,4487.0795023441315
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,8,50,2800,17.738867,4543.844220399857
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,2800,17.7689655,4601.931705713272
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,2800,17.7023085,4658.473672389984
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,2800,17.8002395,4715.475942611694
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,2800,17.755699999999997,4773.562774181366
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,2800,17.7479525,4830.505422592163
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,2800,17.7589325,4887.566126823425
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,2800,17.751358,4944.242105722427
 , ,128,100,64,2800,17.7350985,5001.095011234283
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,2800,17.7526355,5057.721200227737
 , ,4,128,20,2800,17.79649,5114.82928943634
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,128,2800,17.7522295,5171.512254714966
 , ,4,32,128,2800,17.7651765,5228.442172765732
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,80,4,2800,17.742193,5286.5519342422485
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,128,2800,17.819881000000002,5343.461337089539
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,8,2800,17.754156000000002,5400.609062671661
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,32,100,2800,17.8038135,5457.472314119339
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,64,80,2800,17.7412845,5514.428565740585
 , ,50,16,32,2800,17.813973,5571.361368894577
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,80,2800,17.747217,5629.447104930878
 , ,8,32,16,2800,17.7670295,5686.2577838897705
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,2800,17.8096235,5745.135144710541
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,128,2800,17.7527505,5803.89030790329
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,4,256,2800,17.769292999999998,5862.9157502651215
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,2800,17.7285455,5921.777546405792
 , ,20,2048,4,2800,17.7906115,5982.355122327805
 , ,50,4,4,2800,17.7008635,6041.212920665741
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,2800,17.750332999999998,6099.756713151932
 , ,4,4,8,2800,17.695919,6158.706540107727
 , ,4,64,8,2800,17.7548795,6217.2685215473175
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,2800,17.719572499999998,6276.015587806702
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,2800,17.7484385,6334.664540052414
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,100,2800,17.725141999999998,6393.474499702454
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,2800,17.6987585,6452.170424222946
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,50,2800,17.7354825,6510.979230165482
