p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,8,1200,1400,1.7619141147988011,1378.3270871639252
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001580823112379,1429.429649591446
 , ,128,32,4,240,260,0.0014715581681394,1429.4540057182312
 , ,128,20,4,1200,1400,0.7948384846206082,1429.470962524414
 , ,4,2048,8,80,100,0.0003642877271942,1575.9609835147858
 , ,16,4,4,240,260,0.0017745107495882,1575.9780008792875
 , ,64,2048,4,1200,1400,0.1523080624701407,1575.9963510036469
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,80,100,0.0001276571377967,1616.022899866104
 , ,100,128,4,240,260,0.0010917798883293,1616.040091753006
 , ,128,2048,4,1200,1400,0.1510381984606965,1616.0567090511322
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,80,100,0.0004645708361102,1719.4364585876465
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,8,4,240,260,0.0050771947431138,1719.4583587646484
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,8,1200,1400,0.4047641979660454,1719.4743437767029
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,80,100,0.0001266698649984,1772.7031199932098
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,240,260,0.0028784202712452,1772.7209105491638
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,1200,1400,0.3942149187165853,1772.736178636551
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8,80,100,0.0003539139930922,1902.503759622574
 , ,128,128,4,240,260,0.0010917821599403,1902.5228316783905
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,8,1200,1400,0.4129204149453329,1902.5398263931272
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,8,80,100,0.0004792218561689,2066.8050153255463
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,100,8,240,260,0.0082259441899942,2066.8269295692444
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,100,8,1200,1400,0.2534886445261293,2066.846463918686
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,80,100,0.0001580819464492,2125.34676194191
 , ,128,2048,4,240,260,0.0010157657694157,2125.36607670784
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,1200,1400,0.555024993344901,2125.382383108139
 , ,128,128,4,80,100,9.26978637001454e-05,2338.592359304428
 , ,100,2048,4,240,260,0.001015763497517,2338.6202590465546
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,16,1200,1400,0.3833981071834639,2338.6382637023926
 , ,100,128,4,80,100,9.269794235191767e-05,2453.8932213783264
 , ,80,2048,4,240,260,0.0010157589517833,2453.913386821747
 , ,128,128,4,1200,1400,0.1530786774777937,2453.930629491806
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,80,100,0.0001266699386629,2506.228170156479
 , ,80,100,4,240,260,0.0011677820753194,2506.248757123947
 , ,128,64,4,1200,1400,0.139638623179497,2506.267582178116
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,80,100,0.000126670158084,2546.8300063610077
 , ,128,100,4,240,260,0.0011677888912773,2546.850018262863
 , ,100,2048,4,1200,1400,0.1506529247349988,2546.869688272476
 , ,4,2048,4,80,100,8.550810489027657e-05,2718.1216559410095
 , ,4,2048,4,240,260,0.001015743021379,2718.142693758011
 , ,96,128,8,1200,1400,0.1551844825287958,2718.160866498947
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,20,80,100,7.473909336146432e-05,2849.3765671253204
 , ,50,2048,4,240,260,0.0010157544034668,2849.397804260254
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,16,1200,1400,1.591614623721258,2849.416366815567
