p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,20,2048,4,80,100,8.550788818185236e-05,989.2890408039092
 , ,32,2048,4,240,260,0.0010157521283405,989.3061974048616
 , ,128,2048,128,1200,1400,3.086795878253508,989.3195323944092
 , ,64,2048,4,80,100,8.55076698815185e-05,1051.2245819568634
 , ,4,128,4,240,260,0.0010917594126018,1051.244082212448
 , ,128,128,64,1200,1400,3.0141697050001532,1051.259878873825
 , ,80,2048,4,80,100,8.550759676098673e-05,1152.1178076267242
 , ,8,2048,4,240,260,0.0010157452990877,1152.135169506073
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,16,1200,1400,0.3651823105635701,1152.1493804454803
 , ,32,2048,4,80,100,8.550781559194844e-05,1214.4909744262695
 , ,4,2048,4,240,260,0.001015743021379,1214.5091378688812
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,50,1200,1400,2.7362470482792136,1214.5240905284882
 , ,100,128,4,80,100,9.269794235191767e-05,1252.043130159378
 , ,16,4,8,240,260,0.0049049248450577,1252.0614347457886
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,4,256,1200,1400,3.896731730123049,1252.0786724090576
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,2048,4,80,100,0.000120238495467,1290.1005029678345
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,4,4,240,260,0.0051539398433059,1290.11914396286
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,1200,1400,0.8472617439657684,1290.1359658241272
 , ,16,100,4,80,100,0.0001067476282703,1364.776219844818
 , ,128,2048,4,240,260,0.0010157657694157,1364.7954213619232
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,256,1200,1400,3.6730270588884344,1364.8113639354706
 , ,8,2048,4,80,100,8.550803283101165e-05,1453.4115674495697
 , ,50,2048,4,240,260,0.0010157544034668,1453.4305675029757
 , ,128,128,16,1200,1400,1.3091998846908035,1453.4484424591064
 , ,96,2048,4,80,100,8.550752346358213e-05,1522.5152418613434
 , ,20,2048,4,240,260,0.0010157498525685,1522.534895658493
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,128,32,1200,1400,2.454471562866979,1522.5514299869535
 , ,20,100,4,80,100,0.0001067475463295,1574.8795611858368
 , ,4,100,4,240,260,0.0011677661454408,1574.9001863002777
 , ,4,100,50,1200,1400,3.314594524382171,1574.917397260666
 , ,32,128,4,80,100,9.269833273450996e-05,1643.154179573059
 , ,4,80,4,240,260,0.0012437551671045,1643.1751091480255
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,16,1200,1400,2.247305385804144,1643.1939556598663
 , ,100,2048,4,80,100,8.550744998929883e-05,1689.7561073303225
 , ,64,2048,4,240,260,0.0010157566779479,1689.776314496994
 , ,80,100,4,1200,1400,0.1536024693793791,1689.793998003006
 , ,128,80,4,80,100,0.0001281941784118,1739.3262586593628
 , ,100,2048,4,240,260,0.001015763497517,1739.3473372459412
 , ,50,50,256,1200,1400,3.5781764148054784,1739.3675801753998
 , ,80,128,4,80,100,9.26980990802014e-05,1784.5753705501556
 , ,128,128,4,240,260,0.0010917821599403,1784.5968713760376
 , ,100,4,4,1200,1400,2.059807395502907,1784.615199804306
