p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,64,#pragma clang loop unrolling full, ,256,96,cores,balanced,1.9813,1769.835839509964
8,64,#pragma clang loop unrolling full, ,128,96,cores,balanced,2.894425,1794.4753201007843
8,80,#pragma clang loop unrolling full, ,64,96,cores,balanced,2.9022949999999996,1819.1784179210663
8,64, ,#pragma omp parallel for,4,96,cores,balanced,2.047545,1841.9423904418945
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,sockets,balanced,2.04974,1864.6879069805145
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,balanced,1.9840499999999999,1887.1434817314148
8,20, ,#pragma omp parallel for,32,96,sockets,balanced,2.0719700000000003,1909.9908797740936
8,80, ,#pragma omp parallel for,256,96,sockets,balanced,1.96363,1932.4419441223145
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,sockets,balanced,2.7367299999999997,1957.1804037094116
8,80, ,#pragma omp parallel for,128,96,sockets,balanced,2.734165,1981.9695446491241
8,128, ,#pragma omp parallel for,16,96,sockets,balanced,2.11197,2006.4217100143433
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,balanced,2.73068,2030.856056690216
8,40, ,#pragma omp parallel for,256,96,sockets,balanced,2.0598,2053.6659030914307
8,128, ,#pragma omp parallel for,256,96,threads,balanced,2.7443299999999997,2078.4231231212616
8,100, ,#pragma omp parallel for,256,4,sockets,balanced,2.0805100000000003,2101.2256960868835
8,64, ,#pragma omp parallel for,256,16,sockets,balanced,2.05614,2125.6634089946747
8,80, ,#pragma omp parallel for,256,64,sockets,balanced,2.0469749999999998,2148.457379579544
8,200, ,#pragma omp parallel for,256,4,sockets,balanced,1.962145,2171.2947523593903
8,128, ,#pragma omp parallel for,256,96,sockets,balanced,2.5187850000000003,2196.097712993622
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,sockets,balanced,1.974535,2219.0429680347443
8,40, ,#pragma omp parallel for,256,2,sockets,balanced,2.4062650000000003,2243.528475999832
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,sockets,scatter,2.29454,2266.474239587784
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,sockets,balanced,2.41547,2290.8897960186005
8,20, ,#pragma omp parallel for,96,96,sockets,balanced,2.408545,2315.3324909210205
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,sockets,balanced,2.060595,2338.141909837723
8,20, , ,256,96,sockets,balanced,2.9402999999999997,2362.9366705417633
8,100, ,#pragma omp parallel for,256,96,sockets,balanced,2.72584,2387.4086833000183
8,80, ,#pragma omp parallel for,256,8,sockets,balanced,1.9577,2409.8712248802185
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,threads,balanced,1.97798,2432.319002866745
8,80, ,#pragma omp parallel for,256,8,sockets,scatter,2.298535,2455.2936029434204
8,80, ,#pragma omp parallel for,256,128,sockets,balanced,2.39057,2479.739689350128
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,sockets,balanced,2.69484,2504.5507237911224
8,80, ,#pragma omp parallel for,256,96,threads,balanced,2.4422249999999996,2529.0167248249054
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,sockets,balanced,2.39953,2553.4770436286926
8,200, ,#pragma omp parallel for,64,8,sockets,balanced,2.01135,2578.30779838562
8,200, ,#pragma omp parallel for,256,128,sockets,balanced,2.10214,2602.7880423069
8,200, ,#pragma omp parallel for,32,8,sockets,balanced,2.089875,2627.238389968872
8,200, ,#pragma omp parallel for,96,4,sockets,balanced,2.735145,2652.0625009536743
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,1.959765,2674.531378030777
8,80, ,#pragma omp parallel for,8,8,sockets,compact,3.3258349999999997,2701.017196893692
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,balanced,2.0323700000000002,2723.5256011486053
8,200, ,#pragma omp parallel for,256,32,sockets,balanced,2.0895799999999998,2748.022269010544
8,100, ,#pragma omp parallel for,8,8,sockets,balanced,1.96334,2770.5333635807037
8,80, ,#pragma omp parallel for,64,8,sockets,balanced,2.20821,2793.0886657238007
8,200, ,#pragma omp parallel for,8,8,sockets,balanced,1.972285,2815.873874902725
8,200, ,#pragma omp parallel for,128,8,sockets,balanced,2.68996,2842.376349210739
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,balanced,2.41951,2866.8461413383484
8,20, ,#pragma omp parallel for,8,64,sockets,balanced,2.7623100000000003,2891.319694042206
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,balanced,2.113765,2915.7788560390472
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,2.005115,2938.2912652492523
8,80, ,#pragma omp parallel for,8,8,sockets,balanced,2.28513,2961.2405247688293
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,2.689865,2985.9599828720093
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,1.96078,3008.4160737991333
8,100, ,#pragma omp parallel for,32,8,cores,balanced,1.99484,3031.341620206833
8,10, ,#pragma omp parallel for,8,8,threads,balanced,2.00491,3053.7979922294617
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,1.9666649999999999,3076.2772686481476
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,balanced,1.9787,3098.7644350528717
8,160, ,#pragma omp parallel for,8,8,sockets,balanced,2.5167200000000003,3123.4434366226196
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,disabled,2.28742,3146.095310688019
8,100, ,#pragma omp parallel for,2,8,threads,balanced,1.9805000000000001,3168.55815410614
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,cores,balanced,1.966395,3191.114655971527
8,100, ,#pragma omp parallel for,4,8,threads,balanced,2.40473,3215.575525522232
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,cores,balanced,2.395945,3240.0848672389984
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,1.9752649999999998,3262.9986958503723
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,balanced,2.412355,3287.474487543106
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,disabled,2.30349,3310.362163066864
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,threads,balanced,2.4076649999999997,3334.858250141144
8,100, ,#pragma omp parallel for,32,8,threads,balanced,1.96803,3357.374316930771
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,2.109855,3381.8751916885376
8,40, ,#pragma omp parallel for,8,8,threads,balanced,2.04929,3404.356090784073
8,100, ,#pragma omp parallel for,32,8,sockets,balanced,2.06326,3427.2683947086334
8,10, ,#pragma omp parallel for,8,8,cores,balanced,2.0718,3450.193883419037
8,100, ,#pragma omp parallel for,8,8,threads,balanced,2.049265,3473.0151586532593
8,80, ,#pragma omp parallel for,32,8,threads,balanced,2.7291049999999997,3497.673436641693
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,balanced,2.7515,3522.580505132675
8,64, ,#pragma omp parallel for,8,8,threads,balanced,2.04321,3547.0688281059265
8,128, ,#pragma omp parallel for,8,8,cores,balanced,2.089425,3571.5701439380646
8,100, ,#pragma omp parallel for,8,8,sockets,disabled,2.296675,3594.6414926052094
8,10, ,#pragma omp parallel for,32,8,sockets,balanced,2.087935,3617.6562225818634
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,1.957325,3640.138457298279
8,100, ,#pragma omp parallel for,64,8,threads,balanced,1.964405,3662.640172481537
8,64, ,#pragma omp parallel for,64,8,threads,balanced,2.7579000000000002,3687.1454854011536
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,2.75203,3711.659934282303
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,sockets,balanced,2.05498,3736.161635160446
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,sockets,balanced,1.96212,3758.6444532871246
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,sockets,balanced,1.95505,3781.1621503829956
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,2.047075,3804.050827741623
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,sockets,balanced,2.0429399999999998,3826.8187136650085
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,sockets,balanced,1.952025,3849.333526611328
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,sockets,balanced,2.752915,3873.8964478969574
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,sockets,balanced,1.9780250000000001,3896.4091506004333
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,sockets,balanced,2.436495,3920.897053718567
8,100, ,#pragma omp parallel for,4,2,sockets,balanced,2.38958,3945.41459274292
8,100, ,#pragma omp parallel for,8,8,cores,balanced,1.98568,3967.9601500034332
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,2.39865,3992.5002253055573
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,balanced,2.4442399999999997,4017.0335655212402
8,100, , ,2,8,cores,balanced,2.452255,4041.5986115932465
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,2.002405,4064.141663789749
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,threads,balanced,2.0412600000000003,4086.9544525146484
8,100, ,#pragma omp parallel for,256,8,sockets,balanced,1.9703249999999999,4109.489086151123
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,sockets,balanced,2.4075749999999996,4134.044761419296
8,100, ,#pragma omp parallel for,4,4,sockets,balanced,2.43584,4158.560950040817
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,balanced,2.390985,4183.081901788712
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,balanced,1.98223,4205.633032798767
8,10, ,#pragma omp parallel for,4,8,threads,balanced,2.01394,4228.160249471664
8,10, ,#pragma omp parallel for,16,8,sockets,balanced,2.0018599999999998,4250.648761034012
8,100, ,#pragma omp parallel for,64,8,sockets,balanced,1.978575,4273.189746618271
8,100, ,#pragma omp parallel for,96,8,sockets,balanced,1.9631750000000001,4295.720837831497
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,sockets,balanced,2.06518,4318.656311273575
8,10, ,#pragma omp parallel for,128,8,sockets,balanced,2.00596,4341.208098888397
8,10, ,#pragma omp parallel for,256,8,cores,balanced,2.422325,4365.742354154587
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,sockets,balanced,2.417795,4390.314303636551
8,100, ,#pragma omp parallel for,16,8,threads,balanced,2.335625,4413.29500412941
8,128, ,#pragma omp parallel for,8,8,sockets,balanced,1.96149,4435.805203199387
8,128, ,#pragma omp parallel for,64,8,threads,balanced,1.95172,4458.415941476822
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,explicit,2.2707550000000003,4482.987968206406
8,40, ,#pragma omp parallel for,128,8,sockets,balanced,1.99682,4505.491594552994
8,100, ,#pragma omp parallel for,128,8,threads,balanced,2.4045699999999997,4529.979552030563
8,100, ,#pragma omp parallel for,16,8,sockets,balanced,2.44519,4554.560768127441
8,128, ,#pragma omp parallel for,256,8,sockets,balanced,2.1174399999999998,4579.100615739822
8,128, ,#pragma omp parallel for,2,8,sockets,balanced,2.088715,4603.614202260971
8,128, ,#pragma omp parallel for,96,8,threads,balanced,2.743125,4628.55043554306
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,balanced,1.9602050000000002,4651.058106422424
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,sockets,balanced,1.9674550000000002,4674.026253223419
8,128, ,#pragma omp parallel for,8,8,threads,balanced,1.969125,4696.545049667358
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,sockets,balanced,2.43879,4721.122010231018
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,cores,balanced,2.530135,4745.644002914429
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,balanced,1.963455,4768.16015124321
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,sockets,balanced,2.09621,4792.725712060928
