p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,80,#pragma clang loop unrolling full, ,2,2,threads,disabled,8.83159,2081.4345605373383
8,160, , ,256,2,threads,compact,3.6245700000000003,2106.9798629283905
3,200,#pragma clang loop unrolling full, ,32,4,threads,explicit,5.8767949999999995,2139.1446402072906
7,200,#pragma clang loop unrolling full, ,16,96,threads,scatter,2.6650549999999997,2161.1860160827637
4,64, ,#pragma omp parallel for,4,4,cores,balanced,4.1799550000000005,2188.978930950165
5,128, , ,2,64,sockets,none,3.7752499999999998,2214.9801733493805
4,40, ,#pragma omp parallel for,64,128,sockets,compact,4.808605,2245.0632317066193
7,100, ,#pragma omp parallel for,32,64,threads,explicit,2.5670450000000002,2267.309956073761
8,160, ,#pragma omp parallel for,128,96,sockets,none,2.297545,2288.979587316513
6,64,#pragma clang loop unrolling full, ,4,2,sockets,scatter,3.03036,2312.9786286354065
7,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,compact,3.484565,2338.9792268276215
4,100, , ,256,96,threads,none,4.615869999999999,2366.9799938201904
3,100, ,#pragma omp parallel for,96,8,cores,compact,5.256495,2398.9797089099884
2,20,#pragma clang loop unrolling full, ,8,2,cores,balanced,7.917755,2438.9800639152527
7,160,#pragma clang loop unrolling full, ,16,96,sockets,balanced,3.277375,2462.9796047210693
2,100, , ,2,32,sockets,balanced,7.962035,2501.104243040085
7,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,compact,2.717525,2524.9796090126038
3,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,sockets,compact,5.4718800000000005,2558.980231523514
2,80,#pragma clang loop unrolling full, ,32,32,threads,disabled,9.085675,2600.979458093643
3,10, ,#pragma omp parallel for,4,4,sockets,disabled,6.20956,2634.980159521103
8,10, , ,4,2,threads,compact,3.2159649999999997,2658.978922367096
4,20, ,#pragma omp parallel for,8,4,threads,scatter,4.616569999999999,2687.2272379398346
2,128, , ,8,16,threads,balanced,7.833394999999999,2725.518235206604
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,sockets,none,2.660405,2747.516156435013
2,200, , ,96,2,threads,scatter,9.037475,2788.9801235198975
7,64, , ,4,96,cores,compact,2.69806,2812.9793977737427
4,200,#pragma clang loop unrolling full, ,64,96,cores,explicit,4.535655,2840.9801709651947
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,none,2.57557,2863.3933029174805
7,80, ,#pragma omp parallel for,64,16,threads,explicit,2.61673,2885.350965976715
8,160, , ,96,16,sockets,balanced,2.9098800000000002,2908.979998588562
5,40,#pragma clang loop unrolling full, ,256,4,sockets,balanced,4.43078,2936.980106830597
5,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,cores,none,3.60872,2962.9796006679535
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,sockets,scatter,2.638635,2986.9795577526093
3,160, ,#pragma omp parallel for,2,96,cores,scatter,6.135625,3020.9804272651672
2,20,#pragma clang loop unrolling full, ,96,8,cores,none,7.78961,3058.9798958301544
6,20,#pragma clang loop unrolling full, ,32,16,threads,disabled,3.0537900000000002,3082.9798018932343
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,sockets,explicit,6.264519999999999,3116.980528354645
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,threads,compact,2.5308,3140.979957342148
5,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,none,3.75537,3166.9795911312103
4,20,#pragma clang loop unrolling full, ,128,96,threads,balanced,5.07539,3196.9808933734894
3,200,#pragma clang loop unrolling full, ,64,8,threads,none,5.872355,3228.979738473892
7,160, ,#pragma omp parallel for,64,96,sockets,explicit,2.6459,3252.979730606079
2,128, ,#pragma omp parallel for,16,8,cores,compact,8.064715,3293.2281641960144
2,20, , ,2,128,sockets,disabled,8.772670000000002,3334.9798028469086
3,100,#pragma clang loop unrolling full, ,2,64,cores,balanced,5.2015,3365.3517813682556
7,80,#pragma clang loop unrolling full, ,32,2,threads,compact,3.95879,3391.269773244858
5,100, , ,8,128,threads,scatter,3.527365,3416.979776620865
5,20, ,#pragma omp parallel for,2,2,sockets,explicit,3.59889,3442.980044603348
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,sockets,scatter,2.2856300000000003,3464.9805867671967
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,sockets,none,6.38999,3498.9799451828003
5,20,#pragma clang loop unrolling full, ,96,8,cores,disabled,3.627485,3524.9799511432648
7,40, ,#pragma omp parallel for,256,32,threads,disabled,2.6093349999999997,3546.9800543785095
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,explicit,2.6146200000000004,3570.979679107666
6,200, , ,8,2,threads,scatter,3.0344800000000003,3594.979991912842
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,disabled,2.326135,3616.9792935848236
2,200,#pragma clang loop unrolling full, ,16,64,threads,balanced,7.78848,3656.9792289733887
6,100,#pragma clang loop unrolling full, ,2,256,sockets,balanced,3.79773,3682.9800391197205
5,100, , ,96,96,sockets,explicit,3.6854199999999997,3708.9796464443207
4,10,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,sockets,scatter,4.63824,3737.145071029663
2,160,#pragma clang loop unrolling full, ,128,64,cores,scatter,9.320985,3779.062644481659
8,160, , ,8,256,cores,explicit,2.31461,3800.9797234535217
5,100, , ,32,16,cores,none,3.56397,3826.9789187908173
5,160,#pragma clang loop unrolling full, ,64,128,threads,balanced,3.10719,3851.351423025131
8,128, ,#pragma omp parallel for,256,8,sockets,explicit,2.2495900000000004,3872.980402469635
2,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,none,7.725535000000001,3910.9799399375916
6,160, , ,8,32,threads,explicit,3.0517950000000003,3934.9802947044373
8,10, ,#pragma omp parallel for,8,256,sockets,balanced,2.070245,3956.9796707630157
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,disabled,2.197325,3978.9798517227173
8,20,#pragma clang loop unrolling full, ,64,32,threads,disabled,2.307095,4000.9800324440002
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,none,2.3300099999999997,4022.9798810482025
2,80, ,#pragma omp parallel for,32,2,cores,balanced,7.90874,4062.9786109924316
3,64,#pragma clang loop unrolling full, ,128,32,cores,compact,5.396295,4094.980362176895
3,20, , ,128,96,sockets,balanced,5.292350000000001,4126.979720592499
3,160, , ,256,128,threads,none,5.865345,4158.97993183136
7,80, ,#pragma omp parallel for,32,256,cores,compact,2.69979,4182.980184316635
8,200, ,#pragma omp parallel for,256,8,cores,balanced,2.2262,4204.979683160782
3,200, , ,4,8,threads,scatter,5.732595,4236.9796352386475
7,128, ,#pragma omp parallel for,2,96,cores,compact,2.6968550000000002,4260.979980230331
2,64,#pragma clang loop unrolling full, ,16,2,cores,explicit,8.961765,4302.979593992233
3,200,#pragma clang loop unrolling full, ,2,4,threads,explicit,5.833584999999999,4334.979867935181
8,80, ,#pragma omp parallel for,16,2,cores,compact,2.848485,4358.979768753052
2,80, ,#pragma omp parallel for,32,64,sockets,explicit,9.275925,4401.26892375946
5,40, , ,96,4,sockets,scatter,3.751835,4426.979700803757
3,80, ,#pragma omp parallel for,8,256,threads,compact,5.172515,4456.97971868515
4,80, , ,16,4,threads,explicit,4.563225,4484.978707075119
8,200, , ,2,128,threads,scatter,2.287935,4506.979610681534
5,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,sockets,none,3.5596949999999996,4532.97975063324
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,balanced,3.11807,4558.979254722595
3,40, , ,2,16,cores,balanced,6.91736,4594.980252027512
6,10, ,#pragma omp parallel for,256,32,threads,none,3.09598,4618.979602813721
2,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,explicit,8.22729,4658.9792573452
3,20, ,#pragma omp parallel for,16,96,threads,none,6.11452,4692.979863405228
7,40,#pragma clang loop unrolling full, ,96,4,cores,disabled,2.6583699999999997,4714.980104207993
5,100, ,#pragma omp parallel for,128,2,sockets,explicit,3.66059,4740.980705976486
5,128, ,#pragma omp parallel for,2,256,sockets,compact,3.76239,4768.979565382004
2,100, , ,2,128,threads,balanced,9.308345,4813.144925355911
3,160,#pragma clang loop unrolling full, ,256,128,cores,balanced,6.75859,4848.980118274689
7,128, , ,32,16,cores,scatter,2.6510800000000003,4871.185877084732
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,scatter,4.542345,4900.979925394058
8,100,#pragma clang loop unrolling full, ,64,8,cores,explicit,2.308695,4922.97999215126
2,64, , ,16,2,threads,balanced,9.174205,4966.980374097824
5,40,#pragma clang loop unrolling full, ,32,96,threads,none,3.7602149999999996,4992.980297327042
5,100,#pragma clang loop unrolling full, ,32,8,sockets,explicit,3.55907,5017.474890470505
6,128,#pragma clang loop unrolling full, ,2,128,sockets,explicit,3.000365,5040.98032951355
7,128,#pragma clang loop unrolling full, ,8,16,sockets,none,2.513675,5062.980067014694
5,100, ,#pragma omp parallel for,32,64,sockets,explicit,3.61853,5088.979860067368
