p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,80,100,0.0001266695677206,922.403737783432
 , ,96,4,4,240,260,0.0017745243725211,922.4191167354584
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,4,1200,1400,0.4934910739079612,922.431829214096
 , ,8,100,4,80,100,0.0001067477099904,948.8006155490876
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,240,260,0.0043052936067749,948.8144686222076
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,1200,1400,0.4323846179683671,948.827513217926
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,80,100,0.0004241548418679,1012.8842267990112
 , ,80,4,4,240,260,0.0017745221048519,1012.8984363079072
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,1200,1400,0.4611203096382228,1012.9133393764496
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,4,80,100,0.0001348148071133,1068.1570749282837
 , ,4,2048,4,240,260,0.001015743021379,1068.1723613739014
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,1200,1400,0.5276421603887655,1068.1861431598663
 , ,20,2048,4,80,100,8.550788818185236e-05,1184.3416152000427
 , ,16,128,4,240,260,0.0010917639676208,1184.3567152023315
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,1200,1400,0.5013915142129441,1184.3710627555847
 , ,8,2048,4,80,100,8.550803283101165e-05,1243.7659628391266
 , ,4,100,4,240,260,0.0011677661454408,1243.781265258789
 , ,32,100,256,1200,1400,3.746982808074967,1243.7975418567655
 , ,16,128,4,80,100,9.26984875452888e-05,1334.0541734695437
 , ,16,2048,4,240,260,0.0010157475761507,1334.0699977874756
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,16,1200,1400,2.423780290895161,1334.08500623703
 , ,8,128,4,80,100,9.26985646630469e-05,1394.3781888484957
 , ,32,2048,4,240,260,0.0010157521283405,1394.394367933273
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,8,1200,1400,0.4443944126864068,1394.4099237918854
 , ,8,4,4,80,100,0.0004549652128988,1470.398493051529
 , ,4,64,4,240,260,0.0013197184241795,1470.4149243831637
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,2048,256,1200,1400,2.6778603268779295,1470.4323635101318
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,4,80,100,0.0001202387834826,1503.802785873413
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,256,240,260,0.026770757194078,1503.8196835517883
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,2048,256,1200,1400,2.64855387091332,1503.8359315395355
