p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,80,200,240,0.0043485,279.5368525981903
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,20,200,240,0.0040485,285.6977643966675
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,80,200,240,0.0040455,291.215966463089
 , , ,8,80,256,200,240,0.004735,297.25352692604065
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,8,200,240,0.0073395,303.7223091125488
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,200,240,0.0023765,311.45527362823486
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,128,200,240,0.004003,317.5194983482361
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,20,200,240,0.0044585,322.67005014419556
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,128,256,200,240,0.008782,328.8289222717285
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,50,200,240,0.0039875,333.985826253891
 , , ,20,100,64,200,240,0.004061,339.2788453102112
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,64,200,240,0.00412,346.5522229671478
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,4,200,240,0.006424,353.4572801589966
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,128,200,240,0.004373,359.05984711647034
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,200,240,0.002209,366.721310377121
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,20,200,240,0.004102,373.65640211105347
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,64,200,240,0.0042005,379.347678899765
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,32,200,240,0.003848,384.4042584896088
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,50,64,200,240,0.0072165,390.3420045375824
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,100,200,240,0.007977,396.8375906944275
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,4,200,240,0.0067364999999999,403.08346343040466
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,16,200,240,0.005783,410.6622042655945
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,16,200,240,0.0051235,418.3332948684693
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,20,200,240,0.0039845,423.2580101490021
 , , ,50,32,256,200,240,0.004513,429.3531732559204
 , , ,8,64,8,200,240,0.004458,434.9638407230377
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,4,20,200,240,0.005324,444.0607349872589
 , , ,20,128,8,200,240,0.0043355,449.4434945583343
 , , ,100,4,20,200,240,0.004088,455.04664945602417
 , , ,80,2048,100,200,240,0.0046115,460.3002259731293
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,100,200,240,0.004397,465.9891951084137
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,50,64,200,240,0.004612,472.3793408870697
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,4,200,240,0.0069085,478.0750541687012
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,80,32,200,240,0.0044335,484.4961829185486
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,20,80,200,240,0.0042385,489.5168557167053
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,128,200,240,0.0053535,497.290913105011
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,4,200,240,0.011172,503.6318917274475
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,200,240,0.0049169999999999,510.0942780971527
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,64,20,200,240,0.0062605,516.6010673046112
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,200,240,0.0052565,521.605033159256
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,256,200,240,0.0047845,527.6383464336395
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,50,100,200,240,0.0074319999999999,533.4993319511414
 , , ,100,50,256,200,240,0.0045745,538.7735345363617
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,128,200,240,0.0046015,545.1265053749084
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,4,20,200,240,0.003602,550.7113764286041
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,50,200,240,0.001875,558.2608387470245
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,200,240,0.0046315,563.2907032966614
