p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,128, ,#pragma omp parallel for,64,128,threads,balanced,0.039,1185.2361721992493
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,threads,balanced,0.055,1202.051506280899
8,160, ,#pragma omp parallel for,4,96,threads,balanced,0.055,1218.8427667617798
5,128, , ,16,64,sockets,compact,0.1035,1235.3758585453033
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,threads,compact,0.054,1251.9266316890717
8,128,#pragma clang loop unrolling full, ,16,96,threads,balanced,0.039,1268.5068106651306
6,64, , ,16,16,sockets,balanced,0.052,1285.0662682056427
7,128, , ,8,96,threads,balanced,0.045,1301.6241340637207
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,compact,0.05,1318.6581411361694
8,160,#pragma clang loop unrolling full, ,16,96,cores,balanced,0.039,1335.2869606018066
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,compact,0.09,1352.2733957767487
6,10, , ,96,32,sockets,balanced,0.053,1368.8748588562012
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,sockets,balanced,0.077,1385.5132694244385
8,128, , ,16,32,cores,balanced,0.039,1402.1269459724426
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,cores,balanced,0.039,1418.9886157512665
6,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,compact,0.0645,1435.5931298732758
6,40, , ,16,32,cores,balanced,0.052,1452.2530317306519
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,compact,0.076,1468.8629491329193
7,128,#pragma clang loop unrolling full, ,128,32,cores,balanced,0.064,1485.4616656303406
7,128, ,#pragma omp parallel for,64,2,cores,compact,0.063,1502.4235844612122
7,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,threads,balanced,0.044,1519.1767370700836
8,128, , ,128,128,sockets,compact,0.051,1535.7665536403656
4,128, ,#pragma omp parallel for,32,8,threads,balanced,0.077,1552.6487979888916
5,64, ,#pragma omp parallel for,16,96,cores,scatter,0.077,1569.3946130275726
7,80, , ,128,128,threads,balanced,0.063,1585.9777390956879
8,200,#pragma clang loop unrolling full, ,16,64,threads,balanced,0.0395,1602.5837216377258
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,balanced,0.062,1619.4366574287415
8,128,#pragma clang loop unrolling full, ,16,64,cores,none,0.043,1636.0705235004425
8,20,#pragma clang loop unrolling full, ,16,64,threads,balanced,0.04,1652.7905263900757
8,64,#pragma clang loop unrolling full, ,64,16,threads,compact,0.05,1669.3907070159912
8,100,#pragma clang loop unrolling full, ,16,96,cores,scatter,0.05,1686.028685092926
8,10,#pragma clang loop unrolling full, ,16,32,threads,balanced,0.04,1702.6552987098694
8,40, , ,16,2,threads,balanced,0.039,1719.2272107601166
6,128,#pragma clang loop unrolling full, ,64,32,threads,balanced,0.052,1735.8362259864807
5,128,#pragma clang loop unrolling full, ,16,16,sockets,balanced,0.062,1752.4525918960571
8,20,#pragma clang loop unrolling full, ,64,4,threads,balanced,0.039,1769.0584375858307
8,40, , ,64,8,threads,balanced,0.058,1785.678198814392
8,40,#pragma clang loop unrolling full, ,64,4,threads,balanced,0.0565,1802.3247814178467
8,40, ,#pragma omp parallel for,16,8,threads,balanced,0.039,1818.973800420761
8,40, ,#pragma omp parallel for,16,96,cores,balanced,0.039,1835.5944528579712
2,64,#pragma clang loop unrolling full, ,16,32,sockets,balanced,0.1565,1852.237279176712
8,200,#pragma clang loop unrolling full, ,16,256,cores,balanced,0.039,1868.882624387741
8,64, ,#pragma omp parallel for,16,256,cores,balanced,0.039,1885.537484407425
8,40, ,#pragma omp parallel for,16,256,threads,balanced,0.055,1902.1650881767273
7,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,cores,balanced,0.045,1918.7919731140137
8,160, , ,16,128,threads,balanced,0.056,1935.4270684719086
7,160, , ,64,96,cores,balanced,0.0445,1952.064673423767
7,160, , ,96,96,threads,balanced,0.045,1968.7025320529938
7,160,#pragma clang loop unrolling full, ,96,128,cores,balanced,0.045,1985.3544902801514
8,100,#pragma clang loop unrolling full, ,16,256,cores,balanced,0.0395,2001.9904630184174
8,100, ,#pragma omp parallel for,16,4,threads,balanced,0.039,2018.6331369876862
5,64,#pragma clang loop unrolling full, ,16,32,sockets,balanced,0.062,2035.2797367572784
6,128,#pragma clang loop unrolling full, ,8,256,threads,balanced,0.052,2051.950073003769
7,128,#pragma clang loop unrolling full, ,16,96,threads,none,0.0525,2068.5832254886627
5,64,#pragma clang loop unrolling full, ,128,32,cores,balanced,0.0895,2085.266581773758
3,128, ,#pragma omp parallel for,16,64,cores,balanced,0.103,2102.3837699890137
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,cores,balanced,0.039,2119.137240409851
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,sockets,balanced,0.078,2135.8199319839478
8,64, ,#pragma omp parallel for,16,8,threads,balanced,0.039,2152.5030176639557
8,40,#pragma clang loop unrolling full, ,16,8,threads,balanced,0.055,2169.2465529441833
