p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,sockets,balanced,2.302,1809.8838438987732
8,64, ,#pragma omp parallel for,256,96,sockets,balanced,2.297,1832.756530046463
8,64,#pragma clang loop unrolling full, ,8,96,sockets,balanced,2.3035,1855.5302531719208
8,64, ,#pragma omp parallel for,64,4,sockets,balanced,2.3015,1878.329777956009
8,64, , ,96,16,sockets,balanced,2.314,1901.1652669906616
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,sockets,balanced,2.349,1925.5393495559692
8,64,#pragma clang loop unrolling full, ,32,96,sockets,balanced,2.2975,1948.3431468009949
8,64,#pragma clang loop unrolling full, ,16,96,threads,balanced,2.324,1971.1877038478851
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,sockets,balanced,2.2990000000000004,1994.0333864688873
8,64, , ,4,96,threads,balanced,2.3125,2016.7519323825836
8,64, , ,32,4,threads,balanced,2.3055000000000003,2041.1129949092865
8,64, ,#pragma omp parallel for,64,4,cores,balanced,2.2984999999999998,2063.860710144043
8,64, ,#pragma omp parallel for,4,96,sockets,balanced,2.292,2088.1973032951355
8,64, , ,32,16,sockets,balanced,2.3390000000000004,2112.5662565231323
8,64,#pragma clang loop unrolling full, ,8,96,cores,balanced,3.0620000000000003,2138.9394586086273
8,64,#pragma clang loop unrolling full, ,4,4,threads,balanced,3.1835,2165.320382833481
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,threads,balanced,2.3125,2188.0615713596344
8,64, ,#pragma omp parallel for,4,8,sockets,balanced,2.314,2210.8921711444855
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,2.3049999999999997,2235.397249698639
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,cores,balanced,2.3215000000000003,2258.208838701248
8,64,#pragma clang loop unrolling full, ,96,32,threads,balanced,2.322,2281.1213068962097
8,64,#pragma clang loop unrolling full, ,256,128,sockets,balanced,2.3205,2303.947613477707
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,cores,balanced,2.315,2328.406189441681
8,64,#pragma clang loop unrolling full, ,32,32,threads,balanced,3.0395,2354.8332459926605
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,threads,balanced,2.3075,2377.7370159626007
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,sockets,balanced,2.3255,2400.5256900787354
8,64, ,#pragma omp parallel for,128,16,sockets,balanced,2.356,2425.0715415477753
8,64, ,#pragma omp parallel for,128,256,cores,balanced,2.304,2447.8572220802307
8,64,#pragma clang loop unrolling full, ,256,64,sockets,balanced,2.312,2470.5897278785706
8,64, ,#pragma omp parallel for,8,2,sockets,balanced,2.3120000000000003,2493.5937995910645
8,64, ,#pragma omp parallel for,4,128,threads,balanced,2.3034999999999997,2518.0252406597137
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,threads,balanced,2.311,2540.723847389221
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,threads,balanced,2.325,2563.595849275589
8,64,#pragma clang loop unrolling full, ,32,2,sockets,balanced,2.3205,2586.373910665512
8,64, ,#pragma omp parallel for,32,8,cores,balanced,2.309,2609.347371816635
8,64, ,#pragma omp parallel for,32,32,threads,balanced,2.2975000000000003,2632.1325278282166
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,threads,balanced,2.3075,2654.8509364128113
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,balanced,2.3049999999999997,2677.702871799469
8,64, ,#pragma omp parallel for,64,32,sockets,balanced,2.3064999999999998,2700.4369406700134
8,64, ,#pragma omp parallel for,4,32,sockets,balanced,2.3055000000000003,2723.2311549186707
8,64,#pragma clang loop unrolling full, ,256,96,sockets,balanced,2.3025,2746.0472021102905
8,64, ,#pragma omp parallel for,2,32,cores,balanced,2.3055,2768.79292678833
8,64, ,#pragma omp parallel for,32,4,threads,balanced,2.3255,2793.169279575348
8,64, , ,96,16,cores,balanced,2.3295000000000003,2815.8980345726013
8,64, ,#pragma omp parallel for,32,32,cores,balanced,2.3230000000000004,2838.7363708019257
8,64, ,#pragma omp parallel for,8,256,cores,balanced,2.3025,2861.4897804260254
8,64, ,#pragma omp parallel for,96,4,threads,balanced,2.3105,2885.847045660019
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,threads,balanced,2.3165,2908.626296520233
8,64,#pragma clang loop unrolling full, ,8,64,sockets,balanced,2.3025,2931.4421892166138
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,2.6275000000000004,2955.8489763736725
8,64,#pragma clang loop unrolling full, ,2,32,sockets,balanced,2.3095,2978.6144168376923
8,64,#pragma clang loop unrolling full, ,4,64,sockets,balanced,3.127,3005.028944015503
8,64, , ,2,256,sockets,balanced,2.318,3029.4285707473755
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,cores,balanced,2.3075,3053.809100151062
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,balanced,2.9175,3078.58691740036
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,cores,balanced,2.2984999999999998,3101.398267030716
8,64, , ,4,8,sockets,balanced,2.3150000000000004,3124.2147159576416
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,2.3175,3146.9637360572815
8,160, ,#pragma omp parallel for,64,4,cores,balanced,2.2969999999999997,3171.3558073043823
8,20, ,#pragma omp parallel for,64,4,cores,balanced,2.3235,3195.79048538208
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,cores,balanced,2.3305,3218.6606707572937
8,80, ,#pragma omp parallel for,64,2,sockets,balanced,2.3034999999999997,3243.0700674057007
8,128, ,#pragma omp parallel for,64,2,cores,balanced,2.291,3267.506728887558
8,20, ,#pragma omp parallel for,4,2,cores,balanced,2.314,3290.2612743377686
8,40, ,#pragma omp parallel for,64,2,threads,balanced,2.3395,3314.6366753578186
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,sockets,balanced,2.295,3339.033055305481
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,2.285,3361.852855205536
8,200, ,#pragma omp parallel for,32,2,cores,balanced,2.3165,3386.228700876236
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,2.322,3409.0666649341583
8,20,#pragma clang loop unrolling full, ,256,8,sockets,balanced,2.3295000000000003,3431.950469017029
8,200, ,#pragma omp parallel for,32,4,cores,balanced,2.307,3456.366096019745
8,100, ,#pragma omp parallel for,32,4,cores,balanced,2.3325,3480.790386915207
8,100,#pragma clang loop unrolling full, ,96,128,sockets,balanced,3.0555,3507.201274871826
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,2.3,3529.941730737686
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,2.3015,3552.63360619545
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,sockets,balanced,2.3015,3575.402509689331
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,sockets,balanced,2.2965,3599.7876546382904
8,100, ,#pragma omp parallel for,64,32,sockets,balanced,2.316,3622.6569957733154
8,100, ,#pragma omp parallel for,16,128,cores,balanced,2.302,3647.0667564868927
8,128, ,#pragma omp parallel for,128,128,cores,balanced,2.3095,3671.4936752319336
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,2.3689999999999998,3695.9064524173737
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,2.3,3718.7017719745636
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,threads,balanced,2.314,3743.164918422699
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,balanced,2.3085,3767.5573992729187
8,200, ,#pragma omp parallel for,128,32,cores,balanced,2.3034999999999997,3791.954731464386
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,2.3005,3816.356100797653
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,balanced,2.3025,3839.1744556427
8,128, ,#pragma omp parallel for,4,2,cores,balanced,2.3049999999999997,3863.6021208763123
8,64, ,#pragma omp parallel for,128,8,cores,balanced,2.3145,3886.554185152054
8,40, ,#pragma omp parallel for,256,64,cores,balanced,2.312,3909.3949365615845
8,160, ,#pragma omp parallel for,256,64,cores,balanced,2.3005,3933.84144616127
8,200, ,#pragma omp parallel for,2,2,sockets,balanced,2.2935,3958.249261379242
8,64, ,#pragma omp parallel for,2,4,cores,balanced,2.2925,3981.0327591896057
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,cores,balanced,2.3105,4005.629510641098
8,40, ,#pragma omp parallel for,2,2,sockets,balanced,2.3015,4028.546210050583
