p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.96279,415.5759997056745
8,64, ,#pragma omp parallel for,4,8,sockets,balanced,0.96289,415.5038020511741
8,160, ,#pragma omp parallel for,64,32,cores,balanced,0.961895,412.32856013326307
8,80, ,#pragma omp parallel for,4,96,sockets,balanced,0.964115,410.93570202483187
8,64, ,#pragma omp parallel for,2,8,sockets,balanced,0.96148,408.4104654905013
8,80, ,#pragma omp parallel for,8,96,sockets,balanced,0.9618450000000001,406.93641667743066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.964235,406.67716425013003
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,0.963105,405.7413358934379
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,0.965315,405.04862370573454
8,128, ,#pragma omp parallel for,64,32,cores,balanced,0.962045,404.30096480415733
8,80, ,#pragma omp parallel for,16,64,sockets,balanced,0.96201,388.2363142388058
8,80, ,#pragma omp parallel for,32,16,sockets,balanced,0.962415,384.6766891340936
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.9672350000000001,380.5614477330735
8,80, ,#pragma omp parallel for,32,32,threads,balanced,0.962005,375.26224016105044
8,128, ,#pragma omp parallel for,32,4,cores,balanced,0.962135,372.8382723521502
8,100, ,#pragma omp parallel for,64,2,cores,balanced,0.96454,372.2905639738523
8,100, ,#pragma omp parallel for,64,4,cores,balanced,0.961785,372.1451253380099
8,128, ,#pragma omp parallel for,96,4,cores,balanced,0.960755,368.59086918477374
8,128, ,#pragma omp parallel for,96,4,cores,balanced,0.960125,368.59086918477374
8,80, ,#pragma omp parallel for,32,8,sockets,balanced,0.964555,366.9328807377288
8,64, ,#pragma omp parallel for,16,32,cores,balanced,0.96235,361.370197232725
8,160, ,#pragma omp parallel for,32,8,cores,balanced,0.96031,360.79509225851666
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.96067,358.4108074000055
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,balanced,0.9619,350.5104175214468
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,cores,balanced,0.964395,350.50685002955566
8,64,#pragma clang loop unrolling full, ,8,96,sockets,balanced,0.963715,350.50684974204165
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,1.09535,344.4088332302837
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,1.096645,344.40856813336586
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,sockets,balanced,0.9612350000000001,343.31773337746006
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,balanced,1.0983299999999998,332.6562343234775
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,balanced,1.097575,332.6562343234775
8,128, ,#pragma omp parallel for,96,16,cores,balanced,0.96173,332.47394559815893
8,128, ,#pragma omp parallel for,96,16,cores,balanced,0.961055,332.47394559815893
8,128, ,#pragma omp parallel for,96,16,cores,balanced,0.961335,332.47394559815893
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,1.0951300000000002,329.5428792009227
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,1.09714,329.329642719007
8,80, ,#pragma omp parallel for,8,8,sockets,balanced,0.96185,328.46839030043833
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,1.095285,326.80264778918496
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,cores,balanced,1.099855,325.21635469623664
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,1.09772,324.4747014347583
8,80,#pragma clang loop unrolling full, ,16,96,sockets,balanced,0.963295,323.8178847926479
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,1.09735,323.10893715014646
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,cores,balanced,0.9617800000000001,320.88954724619697
8,80, ,#pragma omp parallel for,4,8,sockets,balanced,0.9626399999999999,319.2544908105015
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,1.097205,317.90526215006685
8,40, ,#pragma omp parallel for,8,32,sockets,balanced,0.965265,316.099472850628
8,40, ,#pragma omp parallel for,16,2,cores,balanced,0.9654400000000001,312.07171329265793
8,64,#pragma clang loop unrolling full, ,4,96,sockets,balanced,0.96359,310.9344597976692
8,40, ,#pragma omp parallel for,8,2,cores,balanced,0.96481,308.07753005772696
8,40, ,#pragma omp parallel for,32,8,cores,balanced,0.965125,307.6758028131854
8,40, ,#pragma omp parallel for,16,32,sockets,balanced,0.963275,307.26111324564897
8,40, ,#pragma omp parallel for,8,8,cores,balanced,0.965315,305.9552375758113
8,40, ,#pragma omp parallel for,4,2,cores,balanced,0.96517,302.60202567565534
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,0.96306,302.22976726154604
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,0.96333,302.22976726154604
8,40, ,#pragma omp parallel for,4,8,cores,balanced,0.963245,300.5175348623304
8,40, ,#pragma omp parallel for,64,4,cores,balanced,0.965525,299.6176646165219
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.962125,298.35082147770794
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.96304,298.35082147770794
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.96263,298.35082147770794
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,sockets,balanced,0.963415,297.6496750504698
8,40, ,#pragma omp parallel for,4,96,sockets,balanced,0.964375,295.6147474090516
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.9612499999999999,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.9634100000000001,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.96233,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.961475,292.5872106112792
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,1.096895,291.9170815481597
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,1.096745,291.66447324461797
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,sockets,balanced,0.96197,290.8863956478408
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,0.9625600000000001,290.83953227371
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,0.96084,290.83953227371
8,200, ,#pragma omp parallel for,4,32,sockets,balanced,0.962715,290.17026527019453
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,1.09639,289.83763907612797
