p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
3,200,#pragma clang loop unrolling full, ,32,4,threads,explicit,2.949445,1623.0306951999664
7,200,#pragma clang loop unrolling full, ,16,96,threads,scatter,1.382295,1641.1551496982574
4,64, ,#pragma omp parallel for,4,4,cores,balanced,1.95368,1661.402892589569
5,128, , ,2,64,sockets,none,1.870205,1681.0307898521423
4,40, ,#pragma omp parallel for,64,128,sockets,compact,2.27461,1703.0320348739624
7,100, ,#pragma omp parallel for,32,64,threads,explicit,1.304935,1721.0307822227478
8,160, ,#pragma omp parallel for,128,96,sockets,none,1.162395,1739.154581785202
6,64,#pragma clang loop unrolling full, ,4,2,sockets,scatter,1.54658,1759.032678604126
7,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,threads,compact,1.56576,1779.0310900211334
4,100, , ,256,96,threads,none,2.34788,1801.0317690372467
3,100, ,#pragma omp parallel for,96,8,cores,compact,2.58446,1823.0308303833008
2,20,#pragma clang loop unrolling full, ,8,2,cores,balanced,4.01981,1851.032028913498
7,160,#pragma clang loop unrolling full, ,16,96,sockets,balanced,1.666255,1871.0310852527618
2,100, , ,2,32,sockets,balanced,3.962385,1899.0311105251312
7,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,compact,1.547895,1919.0315880775452
3,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,sockets,compact,2.7304399999999998,1943.0310926437378
2,80,#pragma clang loop unrolling full, ,32,32,threads,disabled,4.2362400000000004,1971.0311720371246
3,10, ,#pragma omp parallel for,4,4,sockets,disabled,2.96645,1995.0313532352448
8,10, , ,4,2,threads,compact,1.9106100000000001,2015.0317525863647
4,20, ,#pragma omp parallel for,8,4,threads,scatter,2.3497950000000003,2037.0318417549133
2,128, , ,8,16,threads,balanced,3.90644,2065.0308833122253
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,sockets,none,1.327205,2083.1960830688477
2,200, , ,96,2,threads,scatter,4.573395,2111.0322194099426
7,64, , ,4,96,cores,compact,1.94056,2131.0308408737183
