p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,160, , ,4,256,sockets,balanced,1.019555,1561.863524198532
8,160, ,#pragma omp parallel for,32,8,sockets,balanced,0.993045,1582.3427934646606
8,160, ,#pragma omp parallel for,2,64,sockets,balanced,0.9906900000000001,1602.8048613071442
8,128, ,#pragma omp parallel for,2,256,sockets,balanced,0.9912749999999999,1623.250228881836
8,160, , ,2,256,sockets,balanced,1.4242599999999999,1643.6837565898895
8,160, ,#pragma omp parallel for,16,256,cores,balanced,0.997965,1664.1519255638123
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,cores,balanced,0.991475,1684.611845254898
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,balanced,0.988815,1705.0701735019684
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,sockets,balanced,0.999235,1723.947866678238
8,100,#pragma clang loop unrolling full, ,2,8,cores,balanced,0.992335,1744.427486896515
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,sockets,balanced,1.3761100000000002,1765.1559610366821
8,160, ,#pragma omp parallel for,8,256,cores,balanced,0.99028,1785.6169958114624
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,cores,balanced,0.984855,1806.0938966274261
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,cores,balanced,0.996155,1826.5577402114868
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,sockets,balanced,0.992705,1847.0265293121338
8,160, ,#pragma omp parallel for,128,2,sockets,balanced,0.9895400000000001,1867.4755849838257
8,160, ,#pragma omp parallel for,16,256,threads,balanced,0.99586,1887.9609289169312
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,sockets,balanced,0.99177,1908.3952441215515
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,balanced,0.9869699999999999,1928.8518059253693
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,0.988815,1949.330753326416
8,160,#pragma clang loop unrolling full, ,2,2,cores,balanced,0.985325,1968.1790225505829
8,160,#pragma clang loop unrolling full, ,96,128,cores,balanced,0.9868049999999999,1986.9854288101196
8,160, , ,128,2,threads,balanced,0.986895,2005.88774061203
8,160, , ,2,2,cores,balanced,0.987475,2024.7078168392181
8,160,#pragma clang loop unrolling full, ,8,2,threads,balanced,0.99057,2043.4954087734222
8,160,#pragma clang loop unrolling full, ,128,64,sockets,balanced,1.4920650000000002,2063.948147535324
8,160, , ,256,2,threads,balanced,1.0327000000000002,2084.4080488681793
8,200, ,#pragma omp parallel for,2,64,cores,balanced,0.99339,2104.891039609909
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,threads,balanced,0.9961949999999999,2125.3430376052856
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,balanced,0.9954700000000001,2145.8027975559235
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,threads,balanced,1.37947,2166.2794346809387
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,0.988595,2186.747085094452
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.9890049999999999,2207.19198179245
8,160, ,#pragma omp parallel for,128,8,sockets,balanced,0.993765,2227.658489227295
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,threads,balanced,0.99223,2248.1564559936523
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,1.02146,2268.6191399097443
