p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,2048,128,2800,13.166410839534665,1051.3993318080902
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,180,0.0044778709904305,1130.7864563465118
 , ,128,8,256,500,0.091468790342684,1130.803028345108
 , ,100,4,4,2800,18.170527494248873,1130.816621541977
 , ,128,80,128,180,0.0044778486945373,1210.2997770309448
 , ,128,80,256,500,0.0914688101616535,1210.3175773620603
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,16,2800,16.755622614920803,1210.3315682411194
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,80,180,0.0044778535352676,1290.4966418743134
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,50,500,0.0914689583574169,1290.5263509750366
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,4,4,2800,17.931527173397903,1290.5426886081696
 , ,100,4,100,180,0.0044778513416936,1369.9826395511627
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,500,0.0914687510482329,1370.0008237361908
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,2048,4,2800,17.97095486575526,1370.0155022144318
 , ,128,8,16,180,0.0044778660589109,1453.456637382507
 , ,100,8,8,500,0.0914691030968052,1453.4746873378754
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,4,256,2800,17.888633103477275,1453.4895293712616
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,180,0.0044778709858855,1531.5805640220642
 , ,100,2048,64,500,0.0914689588707161,1531.601395368576
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,128,80,2800,16.702873612126677,1531.616862297058
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,180,0.0044778707165235,1628.1103360652924
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,500,0.0914691321550858,1628.130138874054
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,2800,0.0,1628.147429704666
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,64,180,0.0044778560218297,1709.2543008327484
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,80,500,0.0914688854114148,1709.2736580371857
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,2048,256,2800,17.814239514322875,1709.2901344299316
 , ,4,2048,16,180,0.0044778658445245,1785.7231214046478
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,500,0.0914689931584741,1785.7428262233734
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,4,2800,17.7874924652618,1785.7592465877533
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,180,0.0044778461953376,1864.1875195503235
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,100,500,0.0914688538296048,1864.2083990573883
 , ,128,32,4,2800,0.0,1864.2542459964752
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,4,180,0.0044778707375901,1945.1642665863037
 , ,80,2048,8,500,0.0914691314766794,1945.1850006580353
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,2800,17.75212335256893,1945.2038638591769
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,256,180,0.0044778463555771,2023.26407456398
 , ,4,4,8,500,0.0914690938371972,2023.2851297855375
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,4,2800,4.188427459332089,2023.3025875091553
 , ,16,128,256,180,0.0044778461899241,2099.487054109574
 , ,4,80,4,500,0.0914691516910756,2099.507534980774
 , ,128,2048,32,2800,0.0,2099.5252702236176
