p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,80,1200,1400,3.140823757193431,1291.8649485111237
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,80,100,0.0001348140572941,1507.1563124656675
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,240,260,0.002955967633642,1507.1725690364838
 , ,32,20,8,1200,1400,1.4778602181187157,1507.1860773563385
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,80,100,0.0001276563530831,1728.8519327640531
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,32,240,260,0.0148801178871428,1728.8692104816437
 , ,96,2048,8,1200,1400,0.1516989521181173,1728.8828220367432
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4,80,100,0.0001348141417229,1926.8195974826813
 , ,4,2048,32,240,260,0.0140677478118973,1926.8521935939789
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,50,1200,1400,3.1510780110860797,1926.8677806854248
 , ,8,2048,4,80,100,8.550803283101165e-05,2062.253401994705
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,240,260,0.0028784134585013,2062.2713491916656
 , ,128,2048,16,1200,1400,1.4216128688441998,2062.2855684757233
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,80,100,0.0001580823832146,2198.737274169922
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,240,260,0.0043053005056013,2198.755441427231
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,1200,1400,0.5283809355064193,2198.770437479019
 , ,96,2048,4,80,100,8.550752346358213e-05,2257.0288314819336
 , ,80,2048,4,240,260,0.0010157589517833,2257.047291994095
 , ,80,2048,4,1200,1400,0.1512868155589473,2257.063839673996
 , ,64,2048,4,80,100,8.55076698815185e-05,2369.380687713623
 , ,64,2048,4,240,260,0.0010157566779479,2369.399384021759
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,1200,1400,2.2805546506453456,2369.415109872818
 , ,100,2048,4,80,100,8.550744998929883e-05,2422.2614057064056
 , ,96,128,4,240,260,0.001091777616024,2422.280150651932
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,20,1200,1400,0.643185866839338,2422.2958283424377
 , ,128,100,4,80,100,0.0001067469665605,2514.321236371994
 , ,80,128,8,240,260,0.0041920152548707,2514.3407468795776
 , ,100,128,8,1200,1400,0.1548556660497837,2514.358510494232
 , ,128,2048,4,80,100,8.550737633813868e-05,2605.677356004715
 , ,100,2048,4,240,260,0.001015763497517,2605.697606086731
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,50,32,1200,1400,2.721249795619868,2605.7142629623413
 , ,128,128,4,80,100,9.26978637001454e-05,2746.365952014923
 , ,32,2048,4,240,260,0.0010157521283405,2746.3876950740814
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,16,4,1200,1400,0.4029225477790074,2746.4048931598663
 , ,100,128,4,80,100,9.269794235191767e-05,2924.2137548923492
 , ,8,128,4,240,260,0.0010917616904584,2924.2354748249054
 , ,8,100,8,1200,1400,0.1701663094992653,2924.254677772522
 , ,32,2048,4,80,100,8.550781559194844e-05,3064.6275696754456
 , ,80,128,4,240,260,0.001091775343025,3064.671222448349
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,4,4,1200,1400,0.8133807285107387,3064.699604034424
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,80,100,0.0004241548418679,3161.0738627910614
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,240,260,0.0036494786674766,3161.0961332321167
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,80,16,1200,1400,1.854072366497645,3161.116126537323
 , ,20,2048,4,80,100,8.550788818185236e-05,3387.9647903442383
 , ,8,2048,4,240,260,0.0010157452990877,3387.986319541931
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,2048,100,1200,1400,3.33831763643628,3388.0048274993896
