input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
100000,16,threads,master,#pragma omp parallel for, ,"schedule(static,8)",0.5175799999999999,618.6699662208557
100000,2,sockets,spread, , ,"schedule(static,32)",0.462375,626.9435360431671
100000,4,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",0.510025,635.3812170028687
100000,2,sockets,master,#pragma omp parallel for, , ,0.48172000000000004,643.5372006893158
100000,32,cores,close, ,simd, ,0.44332,651.2906906604767
100000,16,sockets,close, , ,"schedule(static,4)",0.448475,658.9209609031677
100000,42,threads,spread, , , ,0.44452,666.7852447032928
100000,16,threads,master,#pragma omp parallel for, ,"schedule(static,1)",0.5338,675.4657084941864
100000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",0.482615,683.9075951576233
100000,32,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",0.5339700000000001,692.4974155426025
100000,16,threads,spread, ,simd,"schedule(static,8)",0.46379000000000004,700.321683883667
100000,16,cores,close, , ,"schedule(static,4)",0.44595,708.2209556102753
100000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",0.517475,716.5766398906708
100000,8,cores,close,#pragma omp parallel for,simd,"schedule(static,16)",0.51746,724.9336605072021
100000,21,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",0.517865,733.7234451770782
100000,16,cores,spread, ,simd,"schedule(static,2)",0.448425,741.6607277393341
100000,42,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",0.52076,750.3446896076202
100000,4,cores,spread, ,simd,"schedule(static,2)",0.44789999999999996,758.0005042552948
100000,32,sockets,spread,#pragma omp parallel for, ,"schedule(static,32)",0.53116,766.6042518615723
100000,32,cores,close, , ,"schedule(static,32)",0.457575,774.4352052211761
100000,32,threads,close,#pragma omp parallel for, ,"schedule(static,1)",0.5143,783.0408730506897
100000,42,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",0.535275,791.7647576332092
100000,42,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",0.5304500000000001,802.0928273200989
100000,21,threads,close,#pragma omp parallel for,simd,"schedule(static,2)",0.59836,812.0661804676056
100000,32,cores,close, ,simd,"schedule(static,2)",0.44767,819.8106868267059
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,32)",0.497805,827.7608752250671
1000000,42,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",0.54437,836.5403432846069
1000000,8,threads,master, ,simd,"schedule(static,4)",0.45472999999999997,844.2185349464417
1000000,42,threads,close,#pragma omp parallel for,simd, ,0.5231399999999999,853.0284790992737
1000000,4,threads,master, , ,"schedule(static,16)",0.45666,860.8344554901123
1000000,21,cores,master, ,simd,"schedule(static,2)",0.45381000000000005,868.5252873897552
