p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,4,80,100,0.0001276569829665,1474.050908327103
 , ,50,128,4,240,260,0.001091770794945,1474.06928896904
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,1200,1400,0.4912495239294477,1474.0848269462583
 , ,96,2048,4,80,100,8.550752346358213e-05,1626.5184152126312
 , ,128,128,4,240,260,0.0010917821599403,1626.5356352329254
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,128,1200,1400,3.646417997007086,1626.5529708862305
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,80,100,0.0001580823112379,1782.3743104934692
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,240,260,0.0047038976003436,1782.3922636508942
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,16,1200,1400,2.3569853776768253,1782.4083786010742
 , ,100,100,8,80,100,0.0003734130937813,1936.3426637649536
 , ,96,2048,4,240,260,0.0010157612249729,1936.359900712967
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,1200,1400,0.4005033729019089,1936.3763449192047
 , ,32,2048,4,80,100,8.550781559194844e-05,2094.075706720352
 , ,100,20,4,240,260,0.0015473935523978,2094.093448638916
 , ,80,2048,4,1200,1400,0.1512868155589473,2094.111982822418
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,80,100,0.000120238055982,2254.8475818634033
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,240,260,0.0036494809305547,2254.865710258484
 , ,100,2048,8,1200,1400,0.1524087677502166,2254.882980823517
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,80,100,0.000158081723652,2390.3365087509155
 , ,64,20,4,240,260,0.0015473867418948,2390.355073451996
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,4,1200,1400,0.7405990714670925,2390.373927593231
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,8,80,100,0.0004470235343445,2539.120336294174
 , ,100,4,8,240,260,0.004904941368104,2539.13920211792
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,8,1200,1400,1.7518159887600542,2539.1575281620026
